Year,Country,Import Volume
1990-01-31,France,378060000
1990-02-28,France,378060000
1990-03-31,France,378060000
1990-04-30,France,378060000
1990-05-31,France,378060000
1990-06-30,France,378060000
1990-07-31,France,378060000
1990-08-31,France,378060000
1990-09-30,France,378060000
1990-10-31,France,378060000
1990-11-30,France,378060000
1990-12-31,France,378060000
1991-01-31,France,393180000
1991-02-28,France,393180000
1991-03-31,France,393180000
1991-04-30,France,393180000
1991-05-31,France,393180000
1991-06-30,France,393180000
1991-07-31,France,393180000
1991-08-31,France,393180000
1991-09-30,France,393180000
1991-10-31,France,393180000
1991-11-30,France,393180000
1991-12-31,France,393180000
1992-01-31,France,396720000
1992-02-29,France,396720000
1992-03-31,France,396720000
1992-04-30,France,396720000
1992-05-31,France,396720000
1992-06-30,France,396720000
1992-07-31,France,396720000
1992-08-31,France,396720000
1992-09-30,France,396720000
1992-10-31,France,396720000
1992-11-30,France,396720000
1992-12-31,France,396720000
1993-01-31,France,380040000
1993-02-28,France,380040000
1993-03-31,France,380040000
1993-04-30,France,380040000
1993-05-31,France,380040000
1993-06-30,France,380040000
1993-07-31,France,380040000
1993-08-31,France,380040000
1993-09-30,France,380040000
1993-10-31,France,380040000
1993-11-30,France,380040000
1993-12-31,France,380040000
1994-01-31,France,382140000
1994-02-28,France,382140000
1994-03-31,France,382140000
1994-04-30,France,382140000
1994-05-31,France,382140000
1994-06-30,France,382140000
1994-07-31,France,382140000
1994-08-31,France,382140000
1994-09-30,France,382140000
1994-10-31,France,382140000
1994-11-30,France,382140000
1994-12-31,France,382140000
1995-01-31,France,372840000
1995-02-28,France,372840000
1995-03-31,France,372840000
1995-04-30,France,372840000
1995-05-31,France,372840000
1995-06-30,France,372840000
1995-07-31,France,372840000
1995-08-31,France,372840000
1995-09-30,France,372840000
1995-10-31,France,372840000
1995-11-30,France,372840000
1995-12-31,France,372840000
1996-01-31,France,399600000
1996-02-29,France,399600000
1996-03-31,France,399600000
1996-04-30,France,399600000
