Date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
01/1990,9.0,26.922854967741937,17.42124206451613,21.28905151612903,25.94499851612903,17.23889743548387,20.702851129032258,11.45361641577061,9.759082948028674,0.035483870967741936,0.035483870967741936,0.22580645161290322,21.89336022580645,46.3703214516129,80.02336645161292,17.371612903225806,4.1094797
01/1991,20.0,25.832532483870967,17.476080870967742,20.88300335483871,25.220927903225807,17.368654177419355,20.558768,11.45195035842294,9.513114722222221,0.10967741935483871,0.10967741935483871,0.7741935483870968,21.149651774193547,45.12774064516129,79.92361664516129,16.40258064516129,3.657475361290323
01/1992,17.35483870967742,23.619629258064514,15.740597032258064,19.037506,22.766484225806455,15.028041548387096,18.242232580645158,11.450444399641578,9.136449166666667,1.632258072580645,1.632258072580645,1.903225806451613,20.907565032258063,44.047741,83.14924435483871,15.78967741935484,3.2791889258064515
01/1993,21.903225806451612,24.23253251612903,16.619629096774194,19.652694419354837,23.257982322580645,15.832386016129032,18.823402387096774,11.455463718637994,8.649458369175628,0.17741935806451614,0.17741935806451614,0.8709677419354839,21.71015625806452,45.336773354838705,79.31855854838709,15.114193548387098,3.3632683354838706
01/1994,12.258064516129032,24.787371258064514,16.28253248387097,19.893487,24.544088,15.940760758064517,19.516348322580644,11.453912768817204,9.529845743727599,0.11935484161290323,0.11935484161290323,0.6451612903225806,19.60078270967742,41.42322538709678,79.88060603225807,16.8341935483871,3.513725112903226
01/1995,24.612903225806452,25.38091951612903,16.821242225806454,20.392210032258063,24.526208225806453,16.286041322580644,19.744729048387097,11.452267508960574,9.364213664874553,0.3516129129032258,0.3516129129032258,1.5806451612903225,22.67132651612903,47.299353548387096,78.69635270967741,16.361612903225804,3.6265232645161287
01/1996,27.0,23.55995177419355,15.792209935483871,19.04993887096774,22.942354612903227,15.212309387096774,18.381291483870967,11.450748449820788,8.882535170250897,1.432258122580645,1.432258122580645,3.0,20.651092032258063,42.72386977419355,78.85586719354839,16.13225806451613,3.2712587016129033
01/1997,13.741935483870968,24.36317770967742,15.38414570967742,19.356793967741936,23.914159483870968,14.84281006451613,18.735206467741936,11.455738010752688,9.9872692562724,0.12580645322580644,0.12580645322580644,0.8387096774193549,18.764851870967743,39.76258032258064,86.0353922580645,18.161612903225805,3.714069977419355
01/1998,13.838709677419354,28.338984032258065,18.737371258064517,22.794159903225808,28.07819112903226,19.103597322580644,22.895061129032257,11.454061379928316,9.866115322580645,0.08709677580645162,0.08709677580645162,0.6774193548387096,19.97278929032258,43.0606444516129,107.35342538709676,18.036451612903225,4.2592407129032255
01/1999,31.322580645161292,23.838984032258065,17.679306741935484,20.32554393548387,23.499314096774196,17.60347277419355,20.253787967741935,11.452364632616487,7.208865181899642,0.5806451709677419,0.5806451709677419,2.7419354838709675,22.57753587096774,46.59096661290322,73.25376316129032,12.550645161290323,2.7139558387096776
01/2000,31.129032258064516,24.62769387096774,17.748661548387094,20.663043677419356,24.633728967741934,17.86287122580645,20.766519709677418,11.450888270609319,7.966589411290323,0.5161290516129032,0.5161290516129032,2.5806451612903225,20.93072458064516,43.32774051612903,76.21713412903226,14.289032258064518,3.0579444967741938
01/2001,31.580645161290324,25.056725903225807,17.78253248387097,20.907398548387096,25.325198354838708,17.976727483870967,21.20963741935484,11.455835224014336,8.734016917562723,0.7064516287096774,0.7064516287096774,2.4838709677419355,20.4140910483871,41.88774083870968,81.87333461290324,15.15741935483871,3.1982316999999996
01/2002,16.774193548387096,24.842209903225807,16.777693903225806,20.033003516129032,24.130639483870965,16.19573587096774,19.292036806451613,11.454145215053764,9.841017517921149,0.19032258516129033,0.19032258516129033,1.4193548387096775,22.521272677419354,46.98580483870968,78.14916274193548,17.791935483870965,3.779685077419355
01/2003,12.290322580645162,24.779306709677417,16.514790580645162,19.93837964516129,24.112046,15.932136,19.29009870967742,11.452488593189964,9.721773826164874,0.0806451629032258,0.0806451629032258,0.6451612903225806,21.598277161290323,45.092902290322584,78.60314948387096,17.031935483870967,3.5873537064516126
01/2004,21.548387096774192,25.484145387096774,17.27930664516129,20.56364883870968,24.801038645161288,16.946761193548387,19.982151677419353,11.45100528673835,9.150762974910394,0.1774193593548387,0.1774193593548387,1.1612903225806452,21.362079161290325,44.67483770967742,80.28698506451613,15.654838709677419,3.5819968870967744
01/2005,9.03225806451613,26.555113225806455,16.70995170967742,20.821713096774193,25.676977258064518,16.211723403225808,19.996483548387097,11.455978835125448,9.554383593189964,0.025806451612903226,0.025806451612903226,0.22580645161290322,19.438859241935482,42.00386990322581,93.99325080645161,17.54741935483871,4.076595032258065
01/2006,26.483870967741936,24.41156464516129,17.276080903225804,20.320906258064515,24.613579967741934,17.326492661290324,20.47181493548387,11.45429159498208,8.21767140860215,0.5935484032258065,0.5935484032258065,2.6129032258064515,19.553589580645163,40.4129024516129,89.04102951612903,14.624516129032259,3.029586341935484
01/2007,27.838709677419356,24.251887193548388,17.500274322580644,20.161766741935484,22.79451380645161,16.856429129032257,19.249650258064516,11.452697258064516,7.396691446594982,0.4870967790322581,0.4870967790322581,2.6451612903225805,25.37069516129032,52.35096716129032,71.76130306451613,13.27,3.1798959903225805
01/2008,22.419354838709676,24.676080806451612,17.08575829032258,20.277828709677422,24.449100032258066,16.81039366129032,20.078316161290324,11.451302903225805,7.843017702150538,1.296774167096774,1.296774167096774,2.3225806451612905,20.520934870967743,43.049031806451616,75.22061341935483,14.553548387096775,3.1623444387096775
01/2009,21.70967741935484,22.722855,15.580919612903227,18.552694322580646,21.565080870967744,14.519605725806452,17.47910937096774,11.45622,8.761894886200716,0.4096774322580645,0.4096774322580645,2.096774193548387,22.663331129032258,47.57806316129032,72.29181125806453,15.059032258064516,3.100124629032258
01/2010,20.612903225806452,26.13898409677419,17.951887225806452,21.297586612903228,25.76690948387097,18.07539083870968,21.219832032258065,11.45453025985663,8.624508068100358,0.7806451999999999,0.7806451999999999,2.0,20.598149129032258,44.29161222580645,79.16753129032259,15.686451612903225,3.608856241935484
01/2011,30.93548387096774,22.876080903225805,16.821242225806454,19.26102748387097,21.403255193548386,15.955522903225807,18.293481451612905,11.452982804659499,5.946627095340501,0.3870967887096774,0.3870967887096774,2.096774193548387,24.434570935483872,49.99354706451613,69.89633816129032,11.314193548387097,2.656800370967742
01/2012,31.967741935483872,24.180919516129034,18.00995187096774,20.493487258064516,24.235702290322582,18.184218693548384,20.617519838709676,11.451575698924731,6.967613273297491,1.1225806561290321,1.1225806561290321,3.2903225806451615,21.145306725806453,43.89677358064516,76.58726396774193,12.734516129032258,2.773747763548387
01/2013,17.193548387096776,25.04543580645161,17.34382293548387,20.42856841935484,24.26141358064516,16.980196483870966,19.843415806451613,11.456497338709676,8.249049032258064,0.6419354854838709,0.6419354854838709,1.7419354838709677,21.74093641935484,46.67225732258065,76.07390061290323,14.747741935483871,3.3898761161290323
01/2014,21.451612903225808,23.440597032258065,14.99866170967742,18.58703561290323,22.12036787096774,13.894545258064516,17.342154548387096,11.454796308243727,8.903725456989248,0.12903225806451613,0.12903225806451613,1.0,21.405542322580647,45.34838606451613,74.51884238709678,16.08967741935484,3.491321809677419
01/2015,21.451612903225808,24.043822806451615,15.771242193548387,19.263514258064518,23.485451258064515,14.83709570967742,18.39514977419355,11.453254525089607,8.971694775985663,0.2645161335483871,0.2645161335483871,1.5483870967741935,21.26026087096774,44.91870867741935,77.42945496774193,17.15096774193548,3.5966812064516125
01/2016,28.225806451612904,27.24866151612903,19.068016322580647,22.513850129032257,27.936107161290323,19.88620193548387,23.296583741935486,11.451846756272401,8.97418785842294,0.4322580612903226,0.4322580612903226,1.8387096774193548,18.636662916129033,39.9483864516129,90.72690764516129,15.63483870967742,3.5785737741935484
01/2017,22.677419354838708,23.800241516129034,17.78249941935484,20.157231322580646,23.877533935483868,17.14034258064516,19.920805483870968,11.45666659498208,8.857581357526882,1.4548387451612903,1.4548387451612903,2.5161290322580645,26.283860548387096,49.65677319354839,74.59678403225807,15.487741935483871,2.9754106722580644
01/2018,15.516129032258064,24.705080322580645,17.759918967741935,20.431357677419353,24.560025161290323,17.284885983870968,20.23982425806452,11.45497549283154,8.873717031362007,0.22580645935483873,0.22580645935483873,0.9354838709677419,24.510811870967743,46.75354703225806,79.2826396451613,14.83258064516129,3.077466538709677
01/2019,21.70967741935484,24.51475764516129,17.19862877419355,20.048091870967742,23.996622064516128,16.344496387096775,19.36117387096774,11.453454426523297,10.010058046594981,0.32903224838709677,0.32903224838709677,1.4193548387096775,26.88393229032258,51.43354770967742,77.20654493548388,17.97774193548387,3.5190607032258066
01/2020,6.129032258064516,25.985725451612904,16.903467483870966,20.441841161290323,25.96684322580645,16.06491180645161,19.923845129032255,11.451970340501793,10.354073637992832,0.15161290322580645,0.15161290322580645,0.41935483870967744,23.334958451612906,45.046450709677416,89.27834458064517,19.424516129032256,3.954442474193548
01/2021,15.35483870967742,23.267983354838712,15.516370870967743,18.54123656451613,22.56882264516129,13.89066070967742,17.314704645161292,11.456741980286738,9.70101494623656,0.061290324193548386,0.061290324193548386,0.5806451612903226,26.4356684516129,50.20257916129032,76.18881006451612,17.20225806451613,3.3264206451612903
01/2022,23.29032258064516,25.424435193548387,17.0663705483871,20.439153645161287,25.964736741935482,16.772973354838708,20.404706419354838,11.455024686379929,10.090961335125447,0.36129032580645165,0.36129032580645165,1.8064516129032258,22.224568451612903,41.33032177419355,86.98105,18.325161290322583,3.622441380645161
01/2023,31.870967741935484,23.10508022580645,16.742177258064515,19.334516548387096,22.795392225806452,15.802983887096774,18.80589941935484,11.453524068100359,7.124130510752688,1.5419354722580645,1.5419354722580645,4.096774193548387,25.09343548387097,46.83483774193548,83.93374693548387,14.28,2.793939087096774
01/2024,10.741935483870968,25.511531838709676,16.93411248387097,20.29748748387097,25.306401,16.417975064516128,19.764921129032256,11.452089802867382,10.117203163082436,0.03870967741935484,0.03870967741935484,0.3225806451612903,24.273885612903225,44.50064396774194,84.26767219354839,17.949677419354842,3.7298145322580645
02/1990,21.821428571428573,28.999928642857146,18.46778592857143,22.93869475,29.196898178571427,18.992350714285713,23.03073392857143,11.716269970238097,10.156657261904764,0.17857142857142858,0.17857142857142858,0.9642857142857143,19.57609712857143,41.77285646428572,83.86920932142857,19.822142857142858,4.699383907142858
02/1991,27.142857142857142,27.248143142857142,17.96778582142857,22.018158142857143,27.40232025,18.129465785714284,21.99401053571429,11.71377617063492,9.682416011904762,0.23214285714285715,0.23214285714285715,1.2142857142857142,19.878446232142856,42.05571307142857,88.16490407142858,18.1175,4.160294225
