Date,Negative_News_Ratio
01/1990,0.15837226623332654
02/1990,0.1592638715926387
03/1990,0.16019520475281138
04/1990,0.16116898148148145
05/1990,0.16218817084906356
06/1990,0.16325602546612097
07/1990,0.1643761161580868
08/1990,0.16555237185609678
09/1990,0.16678912564290962
10/1990,0.16809116809116809
11/1990,0.16946380927790686
12/1990,0.17091295116772823
01/1991,0.16723695466210436
02/1991,0.16379595892679696
03/1991,0.16056812710640347
04/1991,0.15753424657534246
05/1991,0.15467734622940912
06/1991,0.15198237885462554
07/1991,0.14943595601884904
08/1991,0.14702612562534742
09/1991,0.14474218432805522
10/1991,0.14257451859667636
11/1991,0.1405144694533762
12/1991,0.13855421686746988
01/1992,0.1370640713706407
02/1992,0.1355911177273291
03/1992,0.1341350601295097
04/1992,0.13269560951680157
05/1992,0.13127248338515943
06/1992,0.1298654056020371
07/1992,0.12847410622776875
08/1992,0.12709832134292565
09/1992,0.12573779288141657
10/1992,0.12439226846910946
11/1992,0.12306150126776343
12/1992,0.12174524982406756
01/1993,0.12005957763710835
02/1993,0.11866056653363183
03/1993,0.11748082357690755
04/1993,0.11647254575707154
05/1993,0.11560088416644045
06/1993,0.11483983438657659
07/1993,0.1141695980328541
08/1993,0.11357483563233207
09/1993,0.11304347826086956
10/1993,0.11256590000579343
11/1993,0.11213432959276516
12/1993,0.11174242424242424
01/1994,0.10947106211575154
02/1994,0.10716574113626656
03/1994,0.10482569399612654
04/1994,0.1024501300954033
05/1994,0.10003823465151847
06/1994,0.0975891677675033
07/1994,0.09510206345684491
08/1994,0.09257602862254026
09/1994,0.09001014198782961
10/1994,0.08740345297592005
11/1994,0.08475498053583697
12/1994,0.08206371191135733
01/1995,0.0829575402635432
02/1995,0.08387825466650814
03/1995,0.08482708672822742
04/1995,0.08580534444716843
05/1995,0.08681441822822634
06/1995,0.08785578747628084
07/1995,0.08893102783312978
08/1995,0.090041819132253
09/1995,0.09118995415587004
10/1995,0.09237734829030951
11/1995,0.0936060501890684
12/1995,0.0948782535684299
01/1996,0.10099809885931559
02/1996,0.10676602479556846
03/1996,0.11221153846153846
04/1996,0.11736093788974808
05/1996,0.12223773676542013
06/1996,0.12686302342086586
07/1996,0.13125576568265684
08/1996,0.13543307086614176
09/1996,0.13941040843214755
10/1996,0.14320180141539782
11/1996,0.14681999161777035
12/1996,0.15027658266748617
01/1997,0.14907380946195217
02/1997,0.14783571466230822
03/1997,0.146560719158841
04/1997,0.1452471482889734
05/1997,0.14389322449880043
06/1997,0.14249705931776172
07/1997,0.14105664457025802
08/1997,0.13956984273820536
09/1997,0.1380343763772587
10/1997,0.136447816476492
11/1997,0.1348075696364023
12/1997,0.13311086392287727
01/1998,0.13063768382917318
02/1998,0.12819574104582343
03/1998,0.12578444747612552
04/1998,0.12340322969390213
05/1998,0.12105152848887692
06/1998,0.11872879842885199
07/1998,0.11643450743796764
08/1998,0.11416813639035862
09/1998,0.11192917871855552
10/1998,0.10971714003601091
11/1998,0.10753153777315898
12/1998,0.10537190082644628
01/1999,0.10484611851171337
02/1999,0.10431985294117649
03/1999,0.10379310344827586
04/1999,0.10326586936522539
05/1999,0.10273815002300968
06/1999,0.10220994475138122
07/1999,0.10168125287885767
08/1999,0.10115207373271891
09/1999,0.10062240663900415
10/1999,0.10009225092250923
11/1999,0.09956160590678359
12/1999,0.09903047091412742
01/2000,0.10132946991648202
02/2000,0.10355824102047667
03/2000,0.10571995371135724
04/2000,0.10781758957654723
05/2000,0.10985395602632002
06/2000,0.11183169882948434
07/2000,0.11375331358178699
08/2000,0.11562115621156212
09/2000,0.11743745261561789
10/2000,0.11920430750822615
11/2000,0.1209237125571787
12/2000,0.12259755387303437
01/2001,0.12088553703928963
02/2001,0.11916491878444956
03/2001,0.1174356341230837
04/2001,0.11569761741347191
05/2001,0.11395080234929843
06/2001,0.11219512195121951
07/2001,0.11043050855830266
08/2001,0.10865689381933441
09/2001,0.10687420868399494
