Date,vnd Exchange Rate
01/1990,5479.3295289855
02/1990,5479.3295289855
03/1990,5479.3295289855
04/1990,5479.3295289855
05/1990,5563.43086594202
06/1990,6052.74773550724
07/1990,6371.31340579709
08/1990,6371.31340579709
09/1990,7900.42862318839
10/1990,7900.42862318839
11/1990,8091.56802536231
12/1990,8282.70742753622
01/1991,8919.83876811593
02/1991,8919.83876811593
03/1991,9047.26503623187
04/1991,9174.69130434781
05/1991,9302.11757246375
06/1991,9556.97010869564
07/1991,9684.39637681158
08/1991,9964.73416666665
09/1991,11723.2166666666
10/1991,11723.2166666666
11/1991,11723.2166666666
12/1991,11723.2166666666
01/1992,11821.5
02/1992,11520.8
03/1992,11532.5
04/1992,11406
05/1992,11305.5
06/1992,11265
07/1992,11159.5
08/1992,10988.5
09/1992,10953
10/1992,10911
11/1992,10848
12/1992,10715
01/1993,10512.5
02/1993,10515.5
03/1993,10529.5
04/1993,10541
05/1993,10559
06/1993,10585
07/1993,10600
08/1993,10668
09/1993,10755
10/1993,10772.5
11/1993,10812
12/1993,10841.5
01/1994,10863
02/1994,10872
03/1994,10924
04/1994,10948
05/1994,10961
06/1994,10976
07/1994,10986
08/1994,10991
09/1994,10997
10/1994,11000
11/1994,11024
12/1994,11046
01/1995,11047
02/1995,11053
03/1995,11053
04/1995,11049
05/1995,11050
06/1995,11050
07/1995,11046
08/1995,11041
09/1995,11030
10/1995,11015
11/1995,11011
12/1995,11014
01/1996,11015
02/1996,11013
03/1996,11013
04/1996,11013
05/1996,11015
06/1996,11015
07/1996,11017
08/1996,11019
09/1996,11021
10/1996,11052
11/1996,11074
12/1996,11124
01/1997,11156
02/1997,11185
03/1997,11540
04/1997,11652
05/1997,11655
06/1997,11661
07/1997,11672
08/1997,11688
09/1997,11706
10/1997,11844
11/1997,12150
12/1997,12291
01/1998,12292
02/1998,12632
03/1998,12977
04/1998,12985
05/1998,12982
06/1998,12984
07/1998,12974
08/1998,13784
09/1998,13907
10/1998,13907
11/1998,13898
12/1998,13894
01/1999,13885
02/1999,13880
03/1999,13901
04/1999,13903
05/1999,13910
06/1999,13918
07/1999,13944
08/1999,13959
09/1999,13978
10/1999,14000
11/1999,14010
12/1999,14030
01/2000,14041
02/2000,14058
03/2000,14061
04/2000,14063
05/2000,14077
06/2000,14085
07/2000,14091
08/2000,14106
09/2000,14162
10/2000,14306
11/2000,14452
12/2000,14511
01/2001,14534
02/2001,14557
03/2001,14552
04/2001,14557
05/2001,14604
06/2001,14769
07/2001,14897
08/2001,14979
09/2001,14099
10/2001,15022
11/2001,15063
12/2001,15069
01/2002,15101
02/2002,15151
03/2002,15242
04/2002,15214
05/2002,15243
06/2002,15303
07/2002,15303
08/2002,15329
09/2002,15339
10/2002,15357
11/2002,15376
12/2002,15396
01/2003,15433
02/2003,15418
03/2003,15427
04/2003,15452
05/2003,15478
06/2003,15486
07/2003,15510
08/2003,15519
09/2003,15537
10/2003,15573
11/2003,15639
12/2003,15643
01/2004,15670
02/2004,15728
03/2004,15754
04/2004,15727
05/2004,15746
06/2004,15732
07/2004,15735
08/2004,15762
09/2004,15755
10/2004,15755
11/2004,15812
12/2004,15776
01/2005,15817
02/2005,15794
03/2005,15815
04/2005,15817
05/2005,15844
06/2005,15865
07/2005,15872
08/2005,15877
09/2005,15885
10/2005,15905
11/2005,15908
12/2005,15908
01/2006,15924
02/2006,15924
03/2006,15914
04/2006,15930
05/2006,15973
06/2006,15989
07/2006,15997
08/2006,16011
09/2006,16038
10/2006,16065
11/2006,16093
12/2006,16073
01/2007,16061
02/2007,15994
03/2007,16012
04/2007,16039
05/2007,16062
06/2007,16109
07/2007,16139
08/2007,16240
09/2007,16238.5
10/2007,16109
11/2007,16141
12/2007,16117
01/2008,16104
02/2008,16070
03/2008,16004
04/2008,15960
05/2008,16022
06/2008,16347
07/2008,16507
08/2008,16495
09/2008,16508
10/2008,16517
11/2008,16493
12/2008,16600
01/2009,16973
02/2009,16976
03/2009,16973
04/2009,16938
05/2009,16938
06/2009,16949
07/2009,16961
08/2009,16968
09/2009,16984
10/2009,17002
11/2009,17177
12/2009,17942
01/2010,17941
02/2010,18243
03/2010,18544
04/2010,18544
05/2010,18544
06/2010,18544
07/2010,18544
08/2010,18723
09/2010,18932
10/2010,18932
11/2010,18932
12/2010,18932
01/2011,18932
02/2011,20318
03/2011,20673
04/2011,20714
05/2011,20678
06/2011,20622
07/2011,20610
08/2011,20618
09/2011,20628
10/2011,20708
11/2011,20803
12/2011,20813
01/2012,20828
02/2012,20828
03/2012,20828
04/2012,20828
05/2012,20828
06/2012,20828
07/2012,20828
08/2012,20828
09/2012,20828
10/2012,20828
11/2012,20828
12/2012,20828
01/2013,20828
02/2013,20828
03/2013,20828
04/2013,20828
05/2013,20828
06/2013,20845
07/2013,21036
08/2013,21036
09/2013,21036
10/2013,21036
11/2013,21036
12/2013,21036
01/2014,21036
02/2014,21036
03/2014,21036
04/2014,21036
05/2014,21036
06/2014,21120
07/2014,21246
08/2014,21246
09/2014,21246
10/2014,21246
11/2014,21246
12/2014,21246
01/2015,21436
02/2015,21458
03/2015,21458
04/2015,21458
05/2015,21673
06/2015,21673
07/2015,21764.81
08/2015,21890
09/2015,21890
10/2015,21890
11/2015,21890
12/2015,21890
01/2016,21904.83
02/2016,21888.81
03/2016,21874.78
04/2016,21888.89
05/2016,21888.08
06/2016,21881.69
07/2016,21871.81
08/2016,21860.85
09/2016,21941.08
10/2016,22003
11/2016,22078
12/2016,22138.19
01/2017,22172.14
02/2017,22221.78
03/2017,22254.19
04/2017,22324.57
05/2017,22373.19
06/2017,22415.5
