year_month,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,month,year
01/1990,57.193548387096776,29.038129774193546,22.668774967741935,25.252577258064516,34.2272374516129,26.667056387096775,29.730187677419355,12.287324211469533,8.420801407706094,6.8677417499999995,6.8677417499999995,10.0,12.574531577419355,32.87612829032258,314.11169193548386,17.135161290322582,3.412105964516129,1.0,1990.0
01/1991,57.32258064516129,28.996194258064516,22.77361370967742,25.225091258064516,34.49525506451613,26.907085709677418,29.833818935483873,12.287789551971327,8.155010927419355,7.935483914193548,7.935483914193548,11.387096774193548,12.043124532258064,30.449031354838706,310.644754516129,16.40774193548387,3.267642693548387,1.0,1991.0
01/1992,58.41935483870968,28.501032741935482,22.46071,24.79075,33.70202029032258,26.562580903225808,29.333543677419353,12.288210152329748,8.185113387096774,8.270967643225806,8.270967643225806,10.96774193548387,10.359524929032258,27.150967129032257,318.8228325806451,15.779354838709677,3.133124622580645,1.0,1992.0
01/1993,60.16129032258065,28.339742419354838,22.392968032258064,24.633088322580644,33.45722022580645,26.31929935483871,29.078375193548386,12.286808396057348,7.769428055555555,12.396774135483872,12.396774135483872,14.03225806451613,12.030939209677419,30.158708870967743,316.5004429032258,15.224193548387097,2.9902285525806453,1.0,1993.0
01/1994,57.32258064516129,28.513935838709678,22.444581387096772,24.921193967741935,33.55745990322581,26.286599967741935,29.289970193548385,12.287241442652329,8.508684838709677,7.59032263548387,7.59032263548387,10.516129032258064,11.975101806451613,29.787096483870968,317.0163258064516,16.325806451612905,3.2451631064516127,1.0,1994.0
01/1995,60.225806451612904,28.555871290322578,22.76071022580645,24.883894451612903,33.86798348387097,26.949945032258064,29.42801477419355,12.287700896057348,7.4622596747311825,11.577419337096774,11.577419337096774,14.741935483870968,12.929584516129031,31.87741893548387,312.9092638709678,15.103870967741937,2.981147951612903,1.0,1995.0
01/1996,57.064516129032256,28.56393606451613,22.30103287096774,24.851234129032257,33.618986225806445,26.19057822580645,29.131477354838708,12.288125125448028,9.252914202508961,6.296774365806451,6.296774365806451,12.709677419354838,11.331758696774195,28.486451064516128,318.18184451612905,17.02741935483871,3.383341622580645,1.0,1996.0
01/1997,56.16129032258065,28.604258677419356,22.313936161290325,24.790750225806452,33.71379006451613,26.316166258064516,29.179862838709678,12.286731415770609,9.024370818996417,7.6838711161290325,7.6838711161290325,9.580645161290322,11.815183129032258,29.926451,316.2298129032258,17.05354838709677,3.3634791806451614,1.0,1997.0
01/1998,59.774193548387096,29.770387774193548,23.481678129032257,25.929258419354838,36.06256958064516,28.26346341935484,31.241060193548385,12.287199668458781,9.329231424731182,7.632258032258064,7.632258032258064,10.64516129032258,9.185480419354839,24.561289516129033,290.54180108387095,17.345806451612905,3.5163146903225804,1.0,1998.0
01/1999,60.67741935483871,28.931678483870968,22.705871548387098,25.09007770967742,34.634515096774194,26.962437677419352,29.903556806451615,12.287673664874552,7.7800587446236555,10.57096780967742,10.57096780967742,14.290322580645162,10.958738483870967,31.529031903225807,308.2806838709677,16.210322580645162,3.2123329258064515,1.0,1999.0
01/2000,59.58064516129032,28.6074844516129,22.40425864516129,24.855937806451614,33.79078009677419,26.385300935483873,29.323163419354838,12.288086254480286,8.42019402688172,10.709677308064515,10.709677308064515,11.225806451612904,12.360206170967741,31.25032212903226,314.54855677419357,17.114516129032257,3.3628087387096772,1.0,2000.0
01/2001,60.67741935483871,28.910710032258066,22.639742741935482,25.06380064516129,35.04422974193548,26.99316093548387,30.078415612903225,12.286704292114695,7.42838376344086,9.909677441935484,9.909677441935484,13.935483870967742,9.616379338709677,26.523870354838706,287.8662110967742,16.001290322580648,3.1918413806451613,1.0,2001.0
01/2002,54.225806451612904,28.52683938709677,22.622000322580647,24.930534967741934,33.732709451612905,26.601464258064517,29.40055429032258,12.287176353046595,8.62793316845878,8.267741693548388,8.267741693548388,11.32258064516129,12.109859935483872,29.810321774193547,314.9359829032258,16.10451612903226,3.1801881064516127,1.0,2002.0
01/2003,57.0,29.188129548387096,22.909097677419354,25.384701258064517,34.81928719354839,27.11528890322581,30.13229412903226,12.287639166666667,8.898804610215054,8.174193716129032,8.174193716129032,10.516129032258064,11.076496877419356,27.615483129032256,312.0569622580645,16.869032258064514,3.3782556258064513,1.0,2003.0
