Date,brl Exchange Rate
01/01/1990,6.19400124211965e-06
02/01/1990,1.02393812191569e-05
03/01/1990,1.63152407482116e-05
04/01/1990,2.07245664420534e-05
05/01/1990,2.26027167523167e-05
06/01/1990,2.47152463731881e-05
07/01/1990,2.87854664027159e-05
08/01/1990,3.10530948879187e-05
09/01/1990,3.2690634236775e-05
10/01/1990,4.11829894645649e-05
11/01/1990,5.32862401275707e-05
12/01/1990,6.68976368346475e-05
01/01/1991,8.36032212648539e-05
02/01/1991,9.59656912909583e-05
03/01/1991,9.95700954232586e-05
04/01/1991,0.000109129620850382
05/01/1991,0.000118131759733815
06/01/1991,0.000128909053587916
07/01/1991,0.000142342155841576
08/01/1991,0.000160673595275391
09/01/1991,0.000185630058464925
10/01/1991,0.000252664012660801
11/01/1991,0.000320396431050402
12/01/1991,0.000414521621588008
01/01/1992,0.000518170419009937
02/01/1992,0.000639895331284332
03/01/1992,0.000785239931101164
04/01/1992,0.00095066429460376
05/01/1992,0.00113755323308079
06/01/1992,0.00136307407897654
07/01/1992,0.00165709980830885
08/01/1992,0.0020218850669571
09/01/1992,0.00249764564025141
10/01/1992,0.00312227342707812
11/01/1992,0.00391503461449089
12/01/1992,0.00482774642471444
01/01/1993,0.00608414243157508
02/01/1993,0.00773269535771165
03/01/1993,0.009723647202508
04/01/1993,0.0124325328222407
05/01/1993,0.0160293248199886
06/01/1993,0.0208182402706616
07/01/1993,0.0271653037428911
08/01/1993,0.035806114598423
09/01/1993,0.0481175498680693
10/01/1993,0.0654433125470936
11/01/1993,0.0890613269334065
12/01/1993,0.120905140525507
01/01/1994,0.169139966886882
02/01/1994,0.238364256267991
03/01/1994,0.332407454016687
04/01/1994,0.480168911509362
05/01/1994,0.686121580165999
06/01/1994,0.835
07/01/1994,0.933
08/01/1994,0.899
09/01/1994,0.865
10/01/1994,0.846
11/01/1994,0.842
12/01/1994,0.85
01/01/1995,0.847
02/01/1995,0.841
03/01/1995,0.889
04/01/1995,0.908
05/01/1995,0.897
06/01/1995,0.914
07/01/1995,0.929
08/01/1995,0.942
09/01/1995,0.953
10/01/1995,0.96
11/01/1995,0.964
12/01/1995,0.968
01/01/1996,0.975
02/01/1996,0.981
03/01/1996,0.9861
04/01/1996,0.9902
05/01/1996,0.9953
06/01/1996,1.0013
07/01/1996,1.0069
08/01/1996,1.0134
09/01/1996,1.0193
10/01/1996,1.025
11/01/1996,1.0304
12/01/1996,1.0373
01/01/1997,1.0429
02/01/1997,1.0493
03/01/1997,1.0567
04/01/1997,1.0609
05/01/1997,1.0683
06/01/1997,1.0746
07/01/1997,1.0807
08/01/1997,1.0879
09/01/1997,1.0936
10/01/1997,1.1001
11/01/1997,1.1073
12/01/1997,1.1136
01/01/1998,1.1199
02/01/1998,1.1271
03/01/1998,1.1337
04/01/1998,1.1412
05/01/1998,1.1481
06/01/1998,1.1546
07/01/1998,1.1615
08/01/1998,1.1717
09/01/1998,1.1809
10/01/1998,1.1884
11/01/1998,1.1937
12/01/1998,1.2054
01/01/1999,1.501115
02/01/1999,1.91288333333333
03/01/1999,1.896
04/01/1999,1.69326842105263
05/01/1999,1.68271428571429
06/01/1999,1.76461904761905
07/01/1999,1.79951363636364
08/01/1999,1.87995
09/01/1999,1.8973
10/01/1999,1.96871
11/01/1999,1.92909
12/01/1999,1.84203043478261
01/01/2000,1.80292380952381
02/01/2000,1.77449047619048
03/01/2000,1.74123333333333
04/01/2000,1.76736842105263
05/01/2000,1.82713181818182
06/01/2000,1.80752857142857
07/01/2000,1.79702380952381
08/01/2000,1.80843913043478
09/01/2000,1.83839
10/01/2000,1.8788380952381
11/01/2000,1.94721
