Date,cop Exchange Rate
01/01/1990,440.08
02/01/1990,451.72
03/01/1990,463.4
04/01/1990,474.62
05/01/1990,485.99
06/01/1990,497.31
07/01/1990,508.35
08/01/1990,519.94
09/01/1990,530.54
10/01/1990,540.46
11/01/1990,551.33
12/01/1990,563.38
01/01/1991,574.09
02/01/1991,584.07
03/01/1991,593.75
04/01/1991,603.72
05/01/1991,613.76
06/01/1991,624.15
07/01/1991,634.4
08/01/1991,645.56
09/01/1991,660.52
10/01/1991,673.84
11/01/1991,687.59
12/01/1991,630.38
01/01/1992,645.18
02/01/1992,635.53
03/01/1992,640.33
04/01/1992,649.16
05/01/1992,659.81
06/01/1992,675.79
07/01/1992,704.5
08/01/1992,693.72
09/01/1992,697.11
10/01/1992,707.65
11/01/1992,722.43
12/01/1992,733.42
01/01/1993,745.52
02/01/1993,749.08
03/01/1993,764.38
04/01/1993,771.79
05/01/1993,779.71
06/01/1993,784.24
07/01/1993,795.08
08/01/1993,804.61
09/01/1993,809.66
10/01/1993,814.45
11/01/1993,814.08
12/01/1993,803.56
01/01/1994,816.15
02/01/1994,817.67
03/01/1994,819.76
04/01/1994,829.87
05/01/1994,841.43
06/01/1994,830.94
07/01/1994,819.06
08/01/1994,814.82
09/01/1994,830.06
10/01/1994,839.32
11/01/1994,830.03
12/01/1994,829.37
01/01/1995,846.63
02/01/1995,850.9
03/01/1995,865.83
04/01/1995,873.39
05/01/1995,876.95
06/01/1995,874.86
07/01/1995,893.22
08/01/1995,935.1
09/01/1995,964.17
10/01/1995,984.96
11/01/1995,1000.58
12/01/1995,988.15
01/01/1996,1011.19
02/01/1996,1029.64
03/01/1996,1044.98
04/01/1996,1050.93
05/01/1996,1066.24
06/01/1996,1071.96
07/01/1996,1064.1
08/01/1996,1044.84
09/01/1996,1040.84
10/01/1996,1015.78
11/01/1996,998.18
12/01/1996,1000.79
01/01/1997,1027.06
02/01/1997,1074.24
03/01/1997,1062.16
04/01/1997,1060.65
05/01/1997,1075.18
06/01/1997,1082.37
07/01/1997,1102.4
08/01/1997,1132.7
09/01/1997,1222.49
10/01/1997,1262.89
11/01/1997,1294.56
12/01/1997,1296.7
01/01/1998,1323.16
02/01/1998,1346.12
03/01/1998,1357.1
04/01/1998,1360.65
05/01/1998,1386.28
06/01/1998,1386.61
07/01/1998,1371.54
08/01/1998,1390.46
09/01/1998,1520.52
10/01/1998,1587.38
11/01/1998,1562.71
12/01/1998,1524.56
01/01/1999,1570.01
02/01/1999,1567.07
03/01/1999,1550.15
04/01/1999,1574.67
05/01/1999,1641.33
06/01/1999,1693.99
07/01/1999,1818.63
08/01/1999,1876.93
09/01/1999,1975.64
10/01/1999,1978.71
11/01/1999,1944.64
12/01/1999,1888.46
01/01/2000,1923.57
02/01/2000,1950.64
03/01/2000,1956.25
04/01/2000,1986.77
05/01/2000,2055.69
06/01/2000,2120.17
07/01/2000,2161.34
08/01/2000,2187.38
09/01/2000,2213.76
10/01/2000,2176.61
11/01/2000,2136.63
12/01/2000,2186.21
01/01/2001,2241.4
02/01/2001,2243.42
03/01/2001,2278.78
04/01/2001,2323.1
05/01/2001,2346.93
06/01/2001,2305.66
07/01/2001,2304.28
08/01/2001,2288.9
09/01/2001,2328.23
10/01/2001,2320.65
11/01/2001,2310.47
12/01/2001,2306.9
01/01/2002,2274.96
02/01/2002,2286.7
03/01/2002,2282.33
04/01/2002,2263.11
05/01/2002,2310.24
06/01/2002,2364.25
07/01/2002,2506.72
08/01/2002,2647.22
09/01/2002,2751.23
10/01/2002,2827.86
11/01/2002,2726.66
12/01/2002,2814.89
01/01/2003,2913
02/01/2003,2951.86
03/01/2003,2959.01
04/01/2003,2926.62
05/01/2003,2858.94
06/01/2003,2826.95
07/01/2003,2858.82
08/01/2003,2867.29
09/01/2003,2840.08
10/01/2003,2876.2
11/01/2003,2844.55
12/01/2003,2807.2
01/01/2004,2749.14
02/01/2004,2717.94
03/01/2004,2670.8
04/01/2004,2639.6
05/01/2004,2719.43
06/01/2004,2716.56
07/01/2004,2653.32
08/01/2004,2598.59
09/01/2004,2552.78
10/01/2004,2580.7
11/01/2004,2530.19
12/01/2004,2411.37
01/01/2005,2362.96
02/01/2005,2340.49
03/01/2005,2353.71
04/01/2005,2350.01
05/01/2005,2339.22
06/01/2005,2331.79
07/01/2005,2323.38
