Date,hnl Exchange Rate
01/01/1990,...
02/01/1990,...
03/01/1990,...
04/01/1990,...
05/01/1990,...
06/01/1990,...
07/01/1990,...
08/01/1990,...
09/01/1990,...
10/01/1990,...
11/01/1990,...
12/01/1990,...
01/01/1991,...
02/01/1991,...
03/01/1991,...
04/01/1991,...
05/01/1991,...
06/01/1991,...
07/01/1991,...
08/01/1991,...
09/01/1991,...
10/01/1991,...
11/01/1991,...
12/01/1991,...
01/01/1992,...
02/01/1992,...
03/01/1992,...
04/01/1992,...
05/01/1992,...
06/01/1992,...
07/01/1992,...
08/01/1992,...
09/01/1992,...
10/01/1992,...
11/01/1992,...
12/01/1992,...
01/01/1993,...
02/01/1993,...
03/01/1993,...
04/01/1993,...
05/01/1993,...
06/01/1993,...
07/01/1993,...
08/01/1993,...
09/01/1993,...
10/01/1993,...
11/01/1993,...
12/01/1993,...
01/01/1994,...
02/01/1994,...
03/01/1994,...
04/01/1994,...
05/01/1994,...
06/01/1994,...
07/01/1994,...
08/01/1994,...
09/01/1994,...
10/01/1994,...
11/01/1994,...
12/01/1994,...
01/01/1995,...
02/01/1995,...
03/01/1995,...
04/01/1995,...
05/01/1995,...
06/01/1995,...
07/01/1995,...
08/01/1995,...
09/01/1995,...
10/01/1995,...
11/01/1995,...
12/01/1995,...
01/01/1996,...
02/01/1996,...
03/01/1996,...
04/01/1996,...
05/01/1996,...
06/01/1996,...
07/01/1996,...
08/01/1996,...
09/01/1996,...
10/01/1996,...
11/01/1996,...
12/01/1996,...
01/01/1997,...
02/01/1997,...
03/01/1997,...
04/01/1997,...
05/01/1997,...
06/01/1997,...
07/01/1997,...
08/01/1997,...
09/01/1997,...
10/01/1997,...
11/01/1997,...
12/01/1997,...
01/01/1998,...
02/01/1998,...
03/01/1998,...
04/01/1998,...
05/01/1998,...
06/01/1998,...
07/01/1998,...
08/01/1998,...
09/01/1998,...
10/01/1998,...
11/01/1998,...
12/01/1998,...
01/01/1999,...
02/01/1999,...
03/01/1999,...
04/01/1999,...
05/01/1999,...
06/01/1999,...
07/01/1999,...
08/01/1999,...
09/01/1999,...
10/01/1999,...
11/01/1999,...
12/01/1999,...
01/01/2000,14.5423
02/01/2000,14.6144
03/01/2000,14.6552
04/01/2000,14.6986
05/01/2000,14.7634
06/01/2000,14.7982
07/01/2000,14.852
08/01/2000,14.9147
09/01/2000,14.9836
10/01/2000,15.0378
11/01/2000,15.0955
12/01/2000,15.1318
01/01/2001,15.1503
02/01/2001,15.2036
03/01/2001,15.2537
04/01/2001,15.3136
05/01/2001,15.3697
06/01/2001,15.434
07/01/2001,15.4911
08/01/2001,15.5275
09/01/2001,15.5949
10/01/2001,15.6954
11/01/2001,15.805
12/01/2001,15.8831
01/01/2002,15.9775
02/01/2002,16.078
03/01/2002,16.1578
04/01/2002,16.2333
05/01/2002,16.3115
06/01/2002,16.3994
07/01/2002,16.4696
08/01/2002,16.5534
09/01/2002,16.6447
10/01/2002,16.731
11/01/2002,16.8041
12/01/2002,16.8844
01/01/2003,16.9674
02/01/2003,17.0413
03/01/2003,17.1141
04/01/2003,17.1882
05/01/2003,17.2369
06/01/2003,17.2986
07/01/2003,17.3812
08/01/2003,17.4593
09/01/2003,17.537
10/01/2003,17.6003
11/01/2003,17.6765
12/01/2003,17.7291
01/01/2004,17.7882
02/01/2004,17.8614
03/01/2004,17.9473
04/01/2004,18.0286
05/01/2004,18.1026
06/01/2004,18.1737
07/01/2004,18.2437
08/01/2004,18.3323
09/01/2004,18.4156
10/01/2004,18.4893
11/01/2004,18.5387
12/01/2004,18.5953
01/01/2005,18.6613
02/01/2005,18.7273
03/01/2005,18.7655
04/01/2005,18.8147
05/01/2005,18.8546
06/01/2005,18.8618
07/01/2005,18.8674
08/01/2005,18.8703
09/01/2005,18.8803
10/01/2005,18.8943
11/01/2005,18.8953
12/01/2005,18.8953
01/01/2006,18.8953
02/01/2006,18.8952
03/01/2006,18.8953
04/01/2006,18.8952
05/01/2006,18.8952
06/01/2006,18.8952
07/01/2006,18.8952
08/01/2006,18.8952
09/01/2006,18.8952
10/01/2006,18.8952
11/01/2006,18.8952
12/01/2006,18.8951
01/01/2007,18.8951
02/01/2007,18.8951
03/01/2007,18.8951
04/01/2007,18.8951
05/01/2007,18.8951
06/01/2007,18.8951
07/01/2007,18.8951
08/01/2007,18.8951
09/01/2007,18.8951
10/01/2007,18.8951
11/01/2007,18.8951
12/01/2007,18.8951
01/01/2008,18.8951
02/01/2008,18.8952
03/01/2008,18.8982
04/01/2008,18.9714
05/01/2008,18.9177
06/01/2008,18.8968
07/01/2008,18.8952
08/01/2008,18.8951
09/01/2008,18.8951
10/01/2008,18.8951
11/01/2008,18.8951
12/01/2008,18.8951
01/01/2009,18.8951
02/01/2009,18.8951
03/01/2009,18.8951
04/01/2009,18.8951
05/01/2009,18.8951
06/01/2009,18.8951
07/01/2009,18.8951
08/01/2009,18.8951
09/01/2009,18.8951
10/01/2009,18.8951
11/01/2009,18.8951
12/01/2009,18.8951
01/01/2010,18.8951
02/01/2010,18.8951
03/01/2010,18.8951
04/01/2010,18.8951
05/01/2010,18.8951
06/01/2010,18.8951
07/01/2010,18.8951
08/01/2010,18.8951
09/01/2010,18.8951
10/01/2010,18.8951
11/01/2010,18.8951
12/01/2010,18.8951
01/01/2011,18.8951
02/01/2011,18.8951
03/01/2011,18.8951
04/01/2011,18.8951
05/01/2011,18.8951
06/01/2011,18.8951
07/01/2011,18.8688
08/01/2011,18.8485
09/01/2011,18.926
10/01/2011,18.9946
11/01/2011,18.9844
12/01/2011,19.0128
01/01/2012,19.0877619047619
02/01/2012,19.1630095238095
03/01/2012,19.2404
04/01/2012,19.30905
05/01/2012,19.3779318181818
06/01/2012,19.4562238095238
07/01/2012,19.5347545454545
08/01/2012,19.6173608695652
09/01/2012,19.69655
10/01/2012,19.77055
11/01/2012,19.8485227272727
12/01/2012,19.9248789473684
01/01/2013,20.00165
02/01/2013,20.0805
03/01/2013,20.1484
04/01/2013,20.2183
05/01/2013,20.3
06/01/2013,20.38
07/01/2013,20.4563
08/01/2013,20.4592
09/01/2013,20.5256
10/01/2013,20.5312
11/01/2013,20.5503
12/01/2013,20.5939
01/01/2014,20.6265
02/01/2014,20.6736
03/01/2014,20.7301
04/01/2014,20.7744
05/01/2014,20.8211
06/01/2014,20.9199
07/01/2014,20.9649
08/01/2014,21.0516
09/01/2014,21.1651
10/01/2014,21.2888
11/01/2014,21.3546
12/01/2014,21.4753
01/01/2015,21.6061
02/01/2015,21.7755
03/01/2015,21.8358
04/01/2015,21.9403
05/01/2015,21.9378
06/01/2015,21.9247
07/01/2015,21.9191
08/01/2015,21.9807
09/01/2015,21.948
10/01/2015,22.0385
11/01/2015,22.1451
12/01/2015,22.2905
01/01/2016,22.4548
02/01/2016,22.5875
03/01/2016,22.6261
04/01/2016,22.5902
05/01/2016,22.608
06/01/2016,22.7417
07/01/2016,22.8394
08/01/2016,22.8889782608696
09/01/2016,22.9656
10/01/2016,23.0814833333333
11/01/2016,23.1804590909091
12/01/2016,23.456
01/01/2017,23.5873904761905
02/01/2017,23.5673
03/01/2017,23.5316652173913
04/01/2017,23.4623266666667
05/01/2017,23.4702363636364
06/01/2017,23.4436863636364
07/01/2017,23.4349619047619
08/01/2017,23.3723260869565
09/01/2017,23.382735
10/01/2017,23.4661647058824
11/01/2017,23.5682619047619
12/01/2017,23.5579526315789
01/01/2018,23.5988818181818
02/01/2018,23.563805
03/01/2018,23.6163105263158
04/01/2018,23.651419047619
05/01/2018,23.8015863636364
06/01/2018,23.9525571428571
07/01/2018,23.9861681818182
08/01/2018,23.9976
09/01/2018,24.0393
10/01/2018,24.0740444444444
11/01/2018,24.2224090909091
12/01/2018,24.3286578947368
01/01/2019,24.3372136363636
02/01/2019,24.38353
03/01/2019,24.4229
04/01/2019,24.4331
05/01/2019,24.4574909090909
06/01/2019,24.50532
07/01/2019,24.4994826086957
08/01/2019,24.5406
09/01/2019,24.6055894736842
10/01/2019,24.6349736842105
11/01/2019,24.6368523809524
12/01/2019,24.6454142857143
01/01/2020,24.6495181818182
02/01/2020,24.67142
03/01/2020,24.7152227272727
04/01/2020,24.8058
05/01/2020,24.8303809523809
06/01/2020,24.7754681818182
07/01/2020,24.6790739130435
08/01/2020,24.5410285714286
09/01/2020,24.4827809523809
10/01/2020,24.398
11/01/2020,24.2852
12/01/2020,24.1486727272727
01/01/2021,24.09635
02/01/2021,24.07613
03/01/2021,24.0291
04/01/2021,24.0137789473684
05/01/2021,23.998319047619
06/01/2021,23.9645045454545
07/01/2021,23.7645954545455
08/01/2021,23.7598909090909
09/01/2021,24.0587428571429
10/01/2021,24.0876388888889
11/01/2021,24.1069045454545
12/01/2021,24.2439086956522
01/01/2022,24.4288
02/01/2022,24.49123
03/01/2022,24.3751826086956
04/01/2022,24.3373277777778
05/01/2022,24.3762142857143
06/01/2022,24.3928909090909
07/01/2022,24.4313619047619
08/01/2022,24.457147826087
09/01/2022,24.5886333333333
10/01/2022,24.6723714285714
11/01/2022,24.6686818181818
12/01/2022,24.6106428571429
01/01/2023,24.585580952381
02/01/2023,24.55523
03/01/2023,24.5760217391304
04/01/2023,24.5661875
05/01/2023,24.5587090909091
06/01/2023,24.5935636363636
07/01/2023,24.5911666666667
08/01/2023,24.5884652173913
09/01/2023,24.623795
10/01/2023,24.6604052631579
11/01/2023,24.6744318181818
12/01/2023,24.646205
01/01/2024,24.6425272727273
02/01/2024,24.6631523809524
03/01/2024,24.6724611111111
04/01/2024,24.6676238095238
05/01/2024,24.6924
06/01/2024,24.706935
07/01/2024,24.7345
08/01/2024,24.7588
09/01/2024,24.7876
10/01/2024,24.8990473684211
11/01/2024,25.0733476190476
12/01/2024,25.2929947368421
