date,IDR to USD
1990Q1,1811.69
1990Q2,1832.816667
1990Q3,1854.076667
1990Q4,1872.67
1991Q1,1916.22
1991Q2,1942.83
1991Q3,1961.35
1991Q4,1980.87
1992Q1,2006.563333
1992Q2,2024.736667
1992Q3,2035.006667
1992Q4,2053.376667
1993Q1,2066.846667
1993Q2,2076.923867
1993Q3,2098.6
1993Q4,2106.044933
1994Q1,2128.707367
1994Q2,2152.632433
1994Q3,2171.521467
1994Q4,2190.153433
1995Q1,2209.476667
1995Q2,2231.855233
1995Q3,2261.793333
1995Q4,2291.306667
1996Q1,2318.170667
1996Q2,2344.083333
1996Q3,2350.333333
1996Q4,2356.597833
1997Q1,2403.266667
1997Q2,2437.23
1997Q3,2791.323333
1997Q4,4005.7
1998Q1,9433.356667
1998Q2,10460.76667
1998Q3,12252.1
1998Q4,7908.266667
1999Q1,8775.7
1999Q2,7921.2
1999Q3,7531.033333
1999Q4,7192.666667
2000Q1,7390.933333
2000Q2,8286.933333
2000Q3,8711.866667
2000Q4,9297.366667
2001Q1,9779.7
2001Q2,11241.66667
2001Q3,9614.1
2001Q4,10407.93333
2002Q1,10157.8
2002Q2,9076.6
2002Q3,8955.7
2002Q4,9054.666667
2003Q1,8905.5
2003Q2,8479.3
2003Q3,8441.266667
2003Q4,8482.466667
2004Q1,8469.6
2004Q2,9001.433333
2004Q3,9156.166667
2004Q4,9128.2
2005Q1,9274.3
2005Q2,9550.533333
2005Q3,9994.533333
2005Q4,9999.6
2006Q1,9274.866667
2006Q2,9115
2006Q3,9122.533333
2006Q4,9124.866667
2007Q1,9107.166667
2007Q2,8968.266667
2007Q3,9242.266667
2007Q4,9246.3
2008Q1,9248.2
2008Q2,9265.266667
2008Q3,9222.45
2008Q4,11059.93333
2009Q1,11630.76667
2009Q2,10509.03333
2009Q3,9965.7
2009Q4,9454.25
2010Q1,9270.5
2010Q2,9131.933333
2010Q3,8995.033333
2010Q4,8964.266667
2011Q1,8897.166667
2011Q2,8584.166667
2011Q3,8599.966667
2011Q4,9000.433333
2012Q1,9101.933333
2012Q2,9315.666667
2012Q3,9500.5
2012Q4,9628.416667
2013Q1,9703.14
2013Q2,9788.83
2013Q3,10663.95667
2013Q4,11689.03333
2014Q1,11847.26667
2014Q2,11618.10333
2014Q3,11748.32185
2014Q4,12247.15333
2015Q1,12798.58508
2015Q2,13133.84333
2015Q3,13850.88
2015Q4,13774.34333
2016Q1,13532.63
2016Q2,13318.18667
2016Q3,13134.02118
2016Q4,13248.46937
2017Q1,13348.35213
2017Q2,13309.32963
2017Q3,13329.12903
2017Q4,13536.52472
2018Q1,13576.23399
2018Q2,13966.26508
2018Q3,14614.36466
2018Q4,14790.89136
2019Q1,14136.44896
2019Q2,14253.97393
2019Q3,14132.35125
2019Q4,14067.9113
2020Q1,14234.31832
2020Q2,14989.85928
2020Q3,14718.29008
2020Q4,14386.34619
2021Q1,14173.79949
2021Q2,14406.53519
2021Q3,14388.61706
2021Q4,14263.62386
2022Q1,14344.97921
2022Q2,14555.10498
2022Q3,14935.59707
2022Q4,15563.73449
2023Q1,15240.65079
2023Q2,14869.85732
2023Q3,15213.02886
2023Q4,15624.00167
2024Q1,15659.58779
2024Q2,16171.1112
2024Q3,15798.69488
2024Q4,15792.39928
