us_gdp_date,us_gdp_value,germany_gdp_date,germany_gdp_value,france_gdp_date,france_gdp_value,italy_gdp_date,italy_gdp_value,canada_gdp_date,canada_gdp_value
1946-01-01,,1960-01-01,84619845881.2608,1960-01-01,61756878990.3,1960-01-01,42012422612.3955,1960-01-01,40563768946.9503
1946-04-01,,1961-01-01,96558204043.1028,1961-01-01,66806595974.7159,1961-01-01,46649487320.4225,1961-01-01,41038192837.9035
1946-07-01,,1962-01-01,105895435234.343,1962-01-01,74888595285.8833,1962-01-01,52413872628.0045,1962-01-01,42336211555.8268
1946-10-01,,1963-01-01,112232503744.1,1963-01-01,83957182115.028,1963-01-01,60035924617.9277,1963-01-01,45140337826.9869
1947-01-01,243.164,1964-01-01,123330404665.086,1964-01-01,93079224076.2648,1964-01-01,65720771779.4768,1964-01-01,49503663836.3665
1947-04-01,245.968,1965-01-01,134774688191.161,1965-01-01,100522559916.017,1965-01-01,70717012186.1774,1965-01-01,54649410478.5226
1947-07-01,249.585,1966-01-01,143304275683.979,1966-01-01,108928356518.505,1966-01-01,76622444787.3696,1966-01-01,61252415404.686
1947-10-01,259.745,1967-01-01,145100667772.69,1967-01-01,117751396249.071,1967-01-01,84401995573.2456,1967-01-01,65856924423.9721
1948-01-01,265.742,1968-01-01,156527292653.157,1968-01-01,128427504709.055,1968-01-01,91485448147.84,1968-01-01,72048833006.1602
1948-04-01,272.567,1969-01-01,177733486326.06,1969-01-01,140361802781.576,1969-01-01,100996667239.335,1969-01-01,79405011124.8208
1948-07-01,279.196,1970-01-01,216629229947.096,1970-01-01,146926998937.05,1970-01-01,113656669764.56,1970-01-01,88192257632.3093
1948-10-01,280.366,1971-01-01,250900942396.699,1971-01-01,164238872972.653,1971-01-01,124959712858.926,1971-01-01,99606454743.5136
1949-01-01,275.034,1972-01-01,300899944795.436,1972-01-01,201621751625.488,1972-01-01,145594833997.344,1972-01-01,113463848873.624
1949-04-01,271.351,1973-01-01,399833571167.215,1973-01-01,262343828815.557,1973-01-01,175896529392.229,1973-01-01,131764343565.643
1949-07-01,272.889,1974-01-01,446934971657.471,1974-01-01,283102178123.295,1974-01-01,200024444775.231,1974-01-01,160949188139.059
1949-10-01,270.627,1975-01-01,492434094920.105,1975-01-01,356780728162.766,1975-01-01,228220643534.994,1975-01-01,174419757176.563
1950-01-01,280.828,1976-01-01,521658712132.981,1976-01-01,368488292816.171,1976-01-01,225235205861.828,1976-01-01,207271612576.065
1950-04-01,290.383,1977-01-01,602698323085.993,1977-01-01,406736454934.474,1977-01-01,258190019749.835,1977-01-01,212325176304.654
1950-07-01,308.153,1978-01-01,743182891918.208,1978-01-01,501724418604.651,1978-01-01,315784469541.41,1978-01-01,219369542386.254
1950-10-01,319.945,1979-01-01,884574218333.155,1979-01-01,608218624730.188,1979-01-01,394584507107.9,1979-01-01,243891124295.715
1951-01-01,336.0,1980-01-01,953772499462.019,1980-01-01,694529183483.39,1980-01-01,478356755595.749,1980-01-01,274776566028.053
1951-04-01,344.09,1981-01-01,803404797057.551,1981-01-01,609184791792.396,1981-01-01,431695533980.583,1981-01-01,307246642755.859
1951-07-01,351.385,1982-01-01,779421633755.138,1982-01-01,578152310609.841,1982-01-01,428257421617.752,1982-01-01,314647807408.608
1951-10-01,356.178,1983-01-01,773507930294.906,1983-01-01,553356312935.709,1983-01-01,444063496940.337,1983-01-01,341866277182.733
1952-01-01,359.82,1984-01-01,727767760978.627,1984-01-01,525033325827.516,1984-01-01,438896930791.272,1984-01-01,356718400123.543
1952-04-01,361.03,1985-01-01,735218723093.277,1985-01-01,547220981165.134,1985-01-01,453259761687.456,1985-01-01,366186012449.652
1952-07-01,367.701,1986-01-01,1050092624515.9,1986-01-01,764946585850.933,1986-01-01,641862313287.44,1986-01-01,379006836991.724
1952-10-01,380.812,1987-01-01,1302932318824.81,1987-01-01,926320855614.973,1987-01-01,807570134448.76,1987-01-01,433134238310.709
1953-01-01,387.98,1988-01-01,1406367016371.53,1988-01-01,1010827662151.75,1988-01-01,893663934840.821,1988-01-01,509380027626.554
1953-04-01,391.749,1989-01-01,1404092925205.45,1989-01-01,1016742237302.08,1989-01-01,930801709003.669,1989-01-01,567211993243.243
1953-07-01,391.171,1990-01-01,1778162195860.07,1990-01-01,1257649439826.53,1990-01-01,1183945130898.51,1990-01-01,596075591360.987
1953-10-01,385.97,1991-01-01,1875792575132.59,1991-01-01,1258961748633.88,1991-01-01,1249092439519.28,1991-01-01,612527712315.615
1954-01-01,385.345,1992-01-01,2141377582968.07,1992-01-01,1389663073110.28,1992-01-01,1323204350353.5,1992-01-01,594387358318.855
1954-04-01,386.121,1993-01-01,2078954217437.6,1993-01-01,1314383368079.69,1993-01-01,1067412587670.73,1993-01-01,579053561739.4
1954-07-01,390.996,1994-01-01,2215282632276.73,1994-01-01,1385822778827.98,1994-01-01,1101750159702.21,1994-01-01,579944346807.264
1954-10-01,399.734,1995-01-01,2593053091306.13,1995-01-01,1595219345511.89,1995-01-01,1177369428265.78,1995-01-01,605961090061.207
1955-01-01,413.073,1996-01-01,2506576553158.31,1996-01-01,1598889216566.23,1996-01-01,1314776508972.27,1996-01-01,630607994132.747
1955-04-01,421.532,1997-01-01,2218790886532.82,1997-01-01,1449392222971.45,1997-01-01,1244988176443.84,1997-01-01,654986999855.554
1955-07-01,430.221,1998-01-01,2247760364565.97,1998-01-01,1496906382032.47,1998-01-01,1272729786996.77,1998-01-01,634000000000.0
1955-10-01,437.092,1999-01-01,2213873468586.88,1999-01-01,1486915879701.93,1999-01-01,1255004736463.98,1999-01-01,678412196271.118
1956-01-01,439.746,2000-01-01,1966980701145.1,2000-01-01,1360959069477.49,2000-01-01,1149661363439.38,2000-01-01,744773415931.587
1956-04-01,446.01,2001-01-01,1966381496641.73,2001-01-01,1370376677298.86,2001-01-01,1172041488805.87,2001-01-01,738981792355.372
1956-07-01,451.191,2002-01-01,2102350798305.89,2002-01-01,1492427756382.43,2002-01-01,1281746271196.04,2002-01-01,760649334098.005
1956-10-01,460.463,2003-01-01,2534715518349.01,2003-01-01,1835095983049.09,2003-01-01,1582930016538.82,2003-01-01,895540646634.787
1957-01-01,469.779,2004-01-01,2852317768061.78,2004-01-01,2109792297237.03,2004-01-01,1812808753294.75,2004-01-01,1026690238278.25
1957-04-01,472.025,2005-01-01,2893393187361.87,2005-01-01,2192146403028.17,2005-01-01,1864982261286.85,2005-01-01,1173108598778.68
1957-07-01,479.49,2006-01-01,3046308753670.58,2006-01-01,2317861544690.82,2006-01-01,1958563654385.64,2006-01-01,1319264809590.97
1957-10-01,474.864,2007-01-01,3484056680854.91,2007-01-01,2655816911866.56,2007-01-01,2222524108127.65,2007-01-01,1468820407783.26
1958-01-01,467.54,2008-01-01,3808786022312.5,2008-01-01,2926802941585.86,2008-01-01,2417508414187.19,2008-01-01,1552989690721.65
1958-04-01,471.978,2009-01-01,3479800820863.28,2009-01-01,2700075882518.98,2009-01-01,2209484319012.65,2009-01-01,1374625142157.29
1958-07-01,485.841,2010-01-01,3468154343000.01,2010-01-01,2646230027988.34,2010-01-01,2144936254535.0,2010-01-01,1617343367486.26
1958-10-01,499.555,2011-01-01,3824828563521.41,2011-01-01,2870408553990.28,2011-01-01,2306974020278.21,2011-01-01,1793326630174.52
1959-01-01,510.33,2012-01-01,3597896500945.31,2012-01-01,2683007095787.23,2012-01-01,2097929495121.68,2012-01-01,1828366481521.6
1959-04-01,522.653,2013-01-01,3808086291482.36,2013-01-01,2816077607875.26,2013-01-01,2153225581941.46,2013-01-01,1846597421834.98
