Date,vnd Exchange Rate
01/01/1990,5479.3295289855
02/01/1990,5479.3295289855
03/01/1990,5479.3295289855
04/01/1990,5479.3295289855
05/01/1990,5563.43086594202
06/01/1990,6052.74773550724
07/01/1990,6371.31340579709
08/01/1990,6371.31340579709
09/01/1990,7900.42862318839
10/01/1990,7900.42862318839
11/01/1990,8091.56802536231
12/01/1990,8282.70742753622
01/01/1991,8919.83876811593
02/01/1991,8919.83876811593
03/01/1991,9047.26503623187
04/01/1991,9174.69130434781
05/01/1991,9302.11757246375
06/01/1991,9556.97010869564
07/01/1991,9684.39637681158
08/01/1991,9964.73416666665
09/01/1991,11723.2166666666
10/01/1991,11723.2166666666
11/01/1991,11723.2166666666
12/01/1991,11723.2166666666
01/01/1992,11821.5
02/01/1992,11520.8
03/01/1992,11532.5
04/01/1992,11406
05/01/1992,11305.5
06/01/1992,11265
07/01/1992,11159.5
08/01/1992,10988.5
09/01/1992,10953
10/01/1992,10911
11/01/1992,10848
12/01/1992,10715
01/01/1993,10512.5
02/01/1993,10515.5
03/01/1993,10529.5
04/01/1993,10541
05/01/1993,10559
06/01/1993,10585
07/01/1993,10600
08/01/1993,10668
09/01/1993,10755
10/01/1993,10772.5
11/01/1993,10812
12/01/1993,10841.5
01/01/1994,10863
02/01/1994,10872
03/01/1994,10924
04/01/1994,10948
05/01/1994,10961
06/01/1994,10976
07/01/1994,10986
08/01/1994,10991
09/01/1994,10997
10/01/1994,11000
11/01/1994,11024
12/01/1994,11046
01/01/1995,11047
02/01/1995,11053
03/01/1995,11053
04/01/1995,11049
05/01/1995,11050
06/01/1995,11050
07/01/1995,11046
08/01/1995,11041
09/01/1995,11030
10/01/1995,11015
11/01/1995,11011
12/01/1995,11014
01/01/1996,11015
02/01/1996,11013
03/01/1996,11013
04/01/1996,11013
05/01/1996,11015
06/01/1996,11015
07/01/1996,11017
08/01/1996,11019
09/01/1996,11021
10/01/1996,11052
11/01/1996,11074
12/01/1996,11124
01/01/1997,11156
02/01/1997,11185
03/01/1997,11540
04/01/1997,11652
05/01/1997,11655
06/01/1997,11661
07/01/1997,11672
08/01/1997,11688
09/01/1997,11706
10/01/1997,11844
11/01/1997,12150
12/01/1997,12291
01/01/1998,12292
02/01/1998,12632
03/01/1998,12977
04/01/1998,12985
05/01/1998,12982
06/01/1998,12984
07/01/1998,12974
08/01/1998,13784
09/01/1998,13907
10/01/1998,13907
11/01/1998,13898
12/01/1998,13894
01/01/1999,13885
02/01/1999,13880
03/01/1999,13901
04/01/1999,13903
05/01/1999,13910
06/01/1999,13918
07/01/1999,13944
08/01/1999,13959
09/01/1999,13978
10/01/1999,14000
11/01/1999,14010
12/01/1999,14030
01/01/2000,14041
02/01/2000,14058
03/01/2000,14061
04/01/2000,14063
05/01/2000,14077
06/01/2000,14085
07/01/2000,14091
08/01/2000,14106
09/01/2000,14162
10/01/2000,14306
11/01/2000,14452
12/01/2000,14511
01/01/2001,14534
02/01/2001,14557
03/01/2001,14552
04/01/2001,14557
05/01/2001,14604
06/01/2001,14769
07/01/2001,14897
08/01/2001,14979
09/01/2001,14099
10/01/2001,15022
11/01/2001,15063
12/01/2001,15069
01/01/2002,15101
02/01/2002,15151
03/01/2002,15242
04/01/2002,15214
05/01/2002,15243
06/01/2002,15303
07/01/2002,15303
08/01/2002,15329
09/01/2002,15339
10/01/2002,15357
11/01/2002,15376
12/01/2002,15396
01/01/2003,15433
02/01/2003,15418
03/01/2003,15427
04/01/2003,15452
05/01/2003,15478
06/01/2003,15486
07/01/2003,15510
08/01/2003,15519
09/01/2003,15537
10/01/2003,15573
11/01/2003,15639
12/01/2003,15643
01/01/2004,15670
02/01/2004,15728
03/01/2004,15754
04/01/2004,15727
05/01/2004,15746
06/01/2004,15732
07/01/2004,15735
08/01/2004,15762
09/01/2004,15755
10/01/2004,15755
11/01/2004,15812
12/01/2004,15776
01/01/2005,15817
02/01/2005,15794
03/01/2005,15815
04/01/2005,15817
05/01/2005,15844
06/01/2005,15865
07/01/2005,15872
08/01/2005,15877
09/01/2005,15885
10/01/2005,15905
11/01/2005,15908
12/01/2005,15908
01/01/2006,15924
02/01/2006,15924
03/01/2006,15914
04/01/2006,15930
05/01/2006,15973
06/01/2006,15989
07/01/2006,15997
08/01/2006,16011
09/01/2006,16038
10/01/2006,16065
11/01/2006,16093
12/01/2006,16073
01/01/2007,16061
02/01/2007,15994
03/01/2007,16012
04/01/2007,16039
05/01/2007,16062
06/01/2007,16109
07/01/2007,16139
08/01/2007,16240
09/01/2007,16238.5
10/01/2007,16109
11/01/2007,16141
12/01/2007,16117
01/01/2008,16104
02/01/2008,16070
03/01/2008,16004
04/01/2008,15960
05/01/2008,16022
06/01/2008,16347
07/01/2008,16507
08/01/2008,16495
09/01/2008,16508
10/01/2008,16517
11/01/2008,16493
12/01/2008,16600
01/01/2009,16973
02/01/2009,16976
03/01/2009,16973
04/01/2009,16938
05/01/2009,16938
06/01/2009,16949
07/01/2009,16961
08/01/2009,16968
09/01/2009,16984
10/01/2009,17002
11/01/2009,17177
12/01/2009,17942
01/01/2010,17941
02/01/2010,18243
03/01/2010,18544
04/01/2010,18544
05/01/2010,18544
06/01/2010,18544
07/01/2010,18544
08/01/2010,18723
09/01/2010,18932
10/01/2010,18932
11/01/2010,18932
12/01/2010,18932
01/01/2011,18932
02/01/2011,20318
03/01/2011,20673
04/01/2011,20714
05/01/2011,20678
06/01/2011,20622
07/01/2011,20610
08/01/2011,20618
09/01/2011,20628
10/01/2011,20708
11/01/2011,20803
12/01/2011,20813
01/01/2012,20828
02/01/2012,20828
03/01/2012,20828
04/01/2012,20828
05/01/2012,20828
06/01/2012,20828
07/01/2012,20828
08/01/2012,20828
09/01/2012,20828
10/01/2012,20828
11/01/2012,20828
12/01/2012,20828
01/01/2013,20828
02/01/2013,20828
03/01/2013,20828
04/01/2013,20828
05/01/2013,20828
06/01/2013,20845
07/01/2013,21036
08/01/2013,21036
09/01/2013,21036
10/01/2013,21036
11/01/2013,21036
12/01/2013,21036
01/01/2014,21036
02/01/2014,21036
03/01/2014,21036
04/01/2014,21036
05/01/2014,21036
06/01/2014,21120
07/01/2014,21246
08/01/2014,21246
09/01/2014,21246
10/01/2014,21246
11/01/2014,21246
12/01/2014,21246
01/01/2015,21436
02/01/2015,21458
03/01/2015,21458
04/01/2015,21458
05/01/2015,21673
06/01/2015,21673
07/01/2015,21764.81
08/01/2015,21890
09/01/2015,21890
10/01/2015,21890
11/01/2015,21890
12/01/2015,21890
01/01/2016,21904.83
02/01/2016,21888.81
03/01/2016,21874.78
04/01/2016,21888.89
05/01/2016,21888.08
06/01/2016,21881.69
07/01/2016,21871.81
08/01/2016,21860.85
09/01/2016,21941.08
10/01/2016,22003
11/01/2016,22078
12/01/2016,22138.19
01/01/2017,22172.14
02/01/2017,22221.78
03/01/2017,22254.19
04/01/2017,22324.57
05/01/2017,22373.19
06/01/2017,22415.5
07/01/2017,22438.71
08/01/2017,22442.19
09/01/2017,22445.58
10/01/2017,22464.85
11/01/2017,22451.04
12/01/2017,22437.3
01/01/2018,22410.65
02/01/2018,22439.05
03/01/2018,22454.44
04/01/2018,22488
05/01/2018,22575.04
06/01/2018,22597.31
07/01/2018,22647.5
08/01/2018,22679.26
09/01/2018,22699.88
10/01/2018,22719.81
11/01/2018,22730.62
12/01/2018,22783.04
01/01/2019,22850.7
02/01/2019,22902.78
03/01/2019,22952.73
04/01/2019,22996.75
05/01/2019,23054.54
06/01/2019,23059.68
07/01/2019,23068.81
08/01/2019,23114.56
09/01/2019,23142.04
10/01/2019,23154.63
11/01/2019,23143.46
12/01/2019,23162.22
01/01/2020,23164.3
02/01/2020,23218.2
03/01/2020,23223.42
