location,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
Indonesia,1990-01-01 00:00:00+00:00,63.0,27.272001,22.572,24.467836,31.486126,26.628988,29.071253,0,0,44316.254,20074.99,12.599999,12.599999,0.0,15.0,14.021525,31.319998,327.7027,11.61,2.306461
Indonesia,1990-01-02 00:00:00+00:00,53.0,29.372002,23.022001,25.47825,34.647533,27.268461,30.321745,0,0,44313.086,30508.227,0.8,0.8,0.0,2.0,6.9899354,19.8,334.70804,17.38,3.4970548
Indonesia,1990-01-03 00:00:00+00:00,63.0,29.572,22.572,25.157415,35.88287,26.760777,29.998579,0,0,44309.668,35298.047,11.8,11.8,0.0,16.0,13.891522,28.8,313.16718,18.92,3.701962
Indonesia,1990-01-04 00:00:00+00:00,61.0,28.922,22.672,24.744913,34.95244,26.06693,29.202879,0,0,44305.992,28505.307,7.0999994,7.0999994,0.0,11.0,10.383987,24.84,307.2605,14.64,2.9109735
Indonesia,1990-01-05 00:00:00+00:00,61.0,29.022001,22.122002,25.015747,32.44569,25.657406,28.775503,0,0,44302.08,32233.795,5.1000004,5.1000004,0.0,10.0,17.072504,39.6,314.9999,18.02,3.6081738
Indonesia,1990-01-06 00:00:00+00:00,51.0,28.872002,21.922,25.007418,32.2942,25.79265,28.85759,0,0,44297.926,32263.984,0.6,0.6,0.0,3.0,17.208603,41.399998,314.1038,18.4,3.640717
Indonesia,1990-01-07 00:00:00+00:00,51.0,29.122002,22.272001,25.64908,33.690304,26.285788,29.833197,0,0,44293.535,41707.48,0.5,0.5,0.0,3.0,13.044722,31.68,311.1737,21.61,4.287908
Indonesia,1990-01-08 00:00:00+00:00,51.0,30.472,22.522001,26.209497,36.722652,26.425867,31.151464,0,0,44288.918,39543.492,0.2,0.2,0.0,1.0,9.36,24.119999,302.57764,24.42,4.9083996
Indonesia,1990-01-09 00:00:00+00:00,53.0,30.122002,23.122002,26.032415,35.754017,27.422588,30.454878,0,0,44284.074,34013.83,2.7,2.7,0.0,6.0,12.245294,42.12,295.21448,20.53,4.2017374
Indonesia,1990-01-10 00:00:00+00:00,61.0,29.622002,23.322,25.917837,35.306988,27.465115,30.76245,0,0,44279.016,38101.297,5.7000003,5.7000003,0.0,14.0,14.529915,39.6,318.68915,20.29,3.9148207
Indonesia,1990-01-11 00:00:00+00:00,63.0,29.972,22.622002,25.367834,36.55686,26.768291,30.008528,0,0,44273.73,40118.805,15.799999,15.799999,0.0,16.0,16.179987,35.28,297.01697,19.19,3.7614336
Indonesia,1990-01-12 00:00:00+00:00,61.0,29.622002,22.622002,25.192833,34.471245,26.906929,29.599295,0,0,44268.164,37306.2,9.7,9.7,0.0,12.0,15.629971,33.12,314.47852,18.83,3.6924849
Indonesia,1990-01-13 00:00:00+00:00,63.0,29.872002,22.422,25.276163,36.02159,26.17549,29.898928,0,0,44262.316,38807.926,19.199997,19.199997,0.0,17.0,13.979872,37.079998,306.22775,20.09,3.8759096
Indonesia,1990-01-14 00:00:00+00:00,61.0,28.772001,22.272001,24.665749,34.20312,26.118336,29.31415,0,0,44256.195,15280.2,9.400001,9.400001,0.0,13.0,10.703569,25.919998,310.0122,10.13,2.1284242
Indonesia,1990-01-15 00:00:00+00:00,63.0,29.422,22.572,25.50325,35.56597,26.416887,30.436007,0,0,44249.812,26526.814,8.0,8.0,0.0,13.0,9.422101,38.16,312.94727,16.21,3.2253723
Indonesia,1990-01-16 00:00:00+00:00,63.0,26.572,22.822,24.221998,31.804096,26.83621,28.756836,0,0,44243.19,5095.8525,16.2,16.2,0.0,20.0,12.55879,31.319998,311.93466,8.83,1.718604
Indonesia,1990-01-17 00:00:00+00:00,55.0,27.872002,22.622002,24.81575,31.533283,26.665367,28.75992,0,0,44236.33,7001.4854,3.9,3.9,0.0,10.0,13.896187,32.399998,314.0537,11.11,2.3456435
Indonesia,1990-01-18 00:00:00+00:00,55.0,28.422,22.522001,24.90325,33.968296,26.68924,29.18516,0,0,44229.246,30020.469,4.9000006,4.9000006,0.0,14.0,12.88981,34.92,306.5936,15.81,3.1096413
Indonesia,1990-01-19 00:00:00+00:00,51.0,27.672,22.422,24.730331,32.39541,26.589558,29.078217,0,0,44221.957,15639.536,0.70000005,0.70000005,0.0,4.0,12.24,38.16,325.21176,13.32,2.6154244
Indonesia,1990-01-20 00:00:00+00:00,53.0,29.722,22.772001,25.790749,36.011585,26.989033,30.417755,0,0,44214.47,34612.164,2.1999998,2.1999998,0.0,6.0,9.9571085,28.8,321.8645,19.32,3.9062333
Indonesia,1990-01-21 00:00:00+00:00,63.0,29.472,22.872002,25.384499,36.0542,27.065105,30.127157,0,0,44206.79,32951.68,6.7999997,6.7999997,0.0,11.0,13.493999,34.56,305.89496,19.26,3.7464366
Indonesia,1990-01-22 00:00:00+00:00,63.0,29.372002,22.572,24.974083,33.88562,26.34747,29.455343,0,0,44198.938,34824.043,33.699997,33.699997,0.0,19.0,13.551501,37.44,308.8656,16.71,3.2580075
Indonesia,1990-01-23 00:00:00+00:00,55.0,26.072,22.572,24.186583,30.743557,26.304638,28.31177,0,0,44190.92,1293.3932,1.9000001,1.9000001,0.0,5.0,10.966713,31.68,295.0744,6.93,1.4897856
Indonesia,1990-01-24 00:00:00+00:00,51.0,29.322,22.872002,25.511587,33.872124,26.386837,29.529976,0,0,44182.75,37119.34,0.3,0.3,0.0,2.0,14.512064,35.64,304.70126,18.41,3.733792
