time,open,high,low,close,Volume
1973-08-01,66.8,68,62,64.02,0
1973-09-03,65.45,69.35,62.45,67.82,0
1973-10-01,67.75,68.95,63.74,65.05,0
1973-11-01,65.4,68.25,61.51,66.05,0
1973-12-03,65.85,68.8,65.7,67.4,0
1974-01-01,67.64,76,67.35,72.65,0
1974-02-01,72.95,82.95,72.8,74.5,0
1974-03-01,73,76.9,69.81,74.9,0
1974-04-01,75.5,75.65,70.6,73.15,0
1974-05-01,73.2,75.6,70.65,73.13,0
1974-06-03,72.6,76.4,69.4,70.9,0
1974-07-01,70.65,73.45,67.8,69.25,0
1974-08-01,67.5,67.5,54.75,59.35,0
1974-09-02,57.35,57.35,49.8,54.2,0
1974-10-01,54.75,60.6,54.4,57.6,0
1974-11-01,57.35,62.35,57.15,61.63,0
1974-12-02,62,62.3,57.45,59.62,0
1975-01-01,59.8,59.9,53.25,54.75,0
1975-02-03,54.5,57.29,51.5,51.75,0
1975-03-03,50.75,52.6,50,51.9,0
1975-04-01,51.75,51.93,47,48.95,0
1975-05-01,49.37,55.2,49,54.11,0
1975-06-02,54.5,60.3,54,55.25,0
1975-07-01,54.9,84.35,52.65,84.05,0
1975-08-01,84.5,88.75,81.6,83.7,0
1975-09-01,82.7,84.5,77.55,80.93,0
1975-10-01,80.75,82.5,79.75,80.1,0
1975-11-03,80,80,74.75,79.9,0
1975-12-01,80.2,88.4,78.9,87.25,0
1976-01-01,87.15,96.95,86.4,95,0
1976-02-02,95.5,104.35,95.3,96.52,0
1976-03-01,95.25,108.7,94.55,108.7,0
1976-04-01,110.7,129.5,110.7,125.5,0
1976-05-03,123.5,144.8,122.5,141.05,0
1976-06-01,142.55,158.4,138.3,152.85,0
1976-07-01,152.4,154.4,120.35,141.75,0
1976-08-02,140.5,156.5,140.5,147.9,0
1976-09-01,148.9,167.5,148.26,166.25,0
1976-10-01,167.5,180.1,165.5,178.5,0
1976-11-01,178,191.3,176,186.98,0
1976-12-01,189,224.5,188.5,224.45,0
1977-01-03,230,230,190,222.93,0
1977-02-01,221.25,267.49,220.5,267.49,0
1977-03-01,271.49,324.01,271.49,308.75,0
1977-04-01,312,339.88,298.5,301.99,0
1977-05-02,295.99,311.5,269.99,273.12,0
1977-06-01,268,279.5,222.22,235.92,0
1977-07-01,235,245.39,184,222,0
1977-08-01,220,220,180.06,180.5,0
1977-09-01,180,187.75,158,165.5,0
1977-10-03,167,184.5,148,184.5,0
1977-11-01,185,205.5,162.25,170.33,0
1977-12-01,169.75,195,168.3,192.03,0
