Date,Negative_News,Total_News
1990-01-27,194.91666666666666,1230.75
1990-02-27,191.83333333333334,1204.5
1990-03-27,188.75,1178.25
1990-04-27,185.66666666666666,1152.0
1990-05-27,182.58333333333334,1125.75
1990-06-27,179.5,1099.5
1990-07-27,176.41666666666666,1073.25
1990-08-27,173.33333333333334,1047.0
1990-09-27,170.25,1020.75
1990-10-27,167.16666666666666,994.5
1990-11-27,164.08333333333331,968.25
1990-12-27,161.0,942.0
1991-01-27,162.91666666666666,974.1666666666666
1991-02-27,164.83333333333334,1006.3333333333334
1991-03-27,166.75,1038.5
1991-04-27,168.66666666666666,1070.6666666666667
1991-05-27,170.58333333333334,1102.8333333333333
1991-06-27,172.5,1135.0
1991-07-27,174.41666666666666,1167.1666666666667
1991-08-27,176.33333333333334,1199.3333333333333
1991-09-27,178.25,1231.5
1991-10-27,180.16666666666666,1263.6666666666665
1991-11-27,182.08333333333334,1295.8333333333333
1991-12-27,184.0,1328.0
1992-01-27,183.08333333333334,1335.75
1992-02-27,182.16666666666666,1343.5
1992-03-27,181.25,1351.25
1992-04-27,180.33333333333334,1359.0
1992-05-27,179.41666666666666,1366.75
1992-06-27,178.5,1374.5
1992-07-27,177.58333333333334,1382.25
1992-08-27,176.66666666666666,1390.0
1992-09-27,175.75,1397.75
1992-10-27,174.83333333333334,1405.5
1992-11-27,173.91666666666666,1413.25
1992-12-27,173.0,1421.0
1993-01-27,188.08333333333334,1566.5833333333333
1993-02-27,203.16666666666666,1712.1666666666667
1993-03-27,218.25,1857.75
1993-04-27,233.33333333333334,2003.3333333333335
1993-05-27,248.41666666666669,2148.916666666667
1993-06-27,263.5,2294.5
1993-07-27,278.58333333333337,2440.0833333333335
1993-08-27,293.6666666666667,2585.666666666667
1993-09-27,308.75,2731.25
1993-10-27,323.83333333333337,2876.8333333333335
1993-11-27,338.9166666666667,3022.416666666667
1993-12-27,354.0,3168.0
1994-01-27,344.25,3144.6666666666665
1994-02-27,334.5,3121.3333333333335
1994-03-27,324.75,3098.0
1994-04-27,315.0,3074.6666666666665
1994-05-27,305.25,3051.3333333333335
1994-06-27,295.5,3028.0
1994-07-27,285.75,3004.6666666666665
1994-08-27,276.0,2981.3333333333335
1994-09-27,266.25,2958.0
1994-10-27,256.5,2934.6666666666665
1994-11-27,246.75,2911.3333333333335
1994-12-27,237.0,2888.0
1995-01-27,236.08333333333334,2845.8333333333335
1995-02-27,235.16666666666666,2803.6666666666665
1995-03-27,234.25,2761.5
1995-04-27,233.33333333333334,2719.3333333333335
1995-05-27,232.41666666666666,2677.1666666666665
1995-06-27,231.5,2635.0
1995-07-27,230.58333333333334,2592.8333333333335
1995-08-27,229.66666666666666,2550.6666666666665
1995-09-27,228.75,2508.5
1995-10-27,227.83333333333334,2466.3333333333335
1995-11-27,226.91666666666666,2424.1666666666665
1995-12-27,226.0,2382.0
1996-01-27,247.91666666666666,2454.6666666666665
1996-02-27,269.8333333333333,2527.3333333333335
1996-03-27,291.75,2600.0
1996-04-27,313.6666666666667,2672.6666666666665
1996-05-27,335.58333333333337,2745.3333333333335
1996-06-27,357.5,2818.0
1996-07-27,379.4166666666667,2890.6666666666665
1996-08-27,401.33333333333337,2963.3333333333335
1996-09-27,423.25,3036.0
