Coverage over Time,Coverage,Coverage
1/1/90 0:00,198,1257
1/1/91 0:00,161,942
1/1/92 0:00,184,1328
1/1/93 0:00,173,1421
1/1/94 0:00,354,3168
1/1/95 0:00,237,2888
1/1/96 0:00,226,2382
1/1/97 0:00,489,3254
1/1/98 0:00,359,2697
1/1/99 0:00,306,2904
1/1/00 0:00,286,2888
1/1/01 0:00,421,3434
1/1/02 0:00,338,3331
1/1/03 0:00,312,3891
1/1/04 0:00,387,4858
1/1/05 0:00,569,5999
1/1/06 0:00,634,6788
1/1/07 0:00,584,6475
1/1/08 0:00,663,7252
1/1/09 0:00,751,7138
1/1/10 0:00,893,8454
1/1/11 0:00,1064,10668
1/1/12 0:00,1027,12037
1/1/13 0:00,1031,12243
1/1/14 0:00,961,11437
1/1/15 0:00,744,11726
1/1/16 0:00,626,10899
1/1/17 0:00,733,11082
1/1/18 0:00,951,15338
1/1/19 0:00,838,15081
1/1/20 0:00,1062,15807
1/1/21 0:00,911,14600
1/1/22 0:00,1146,16037
1/1/23 0:00,1043,22813
1/1/24 0:00,1773,26879
1/1/25 0:00,15,239
