location,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
Brazil,1990-01-01 00:00:00+00:00,63.0,24.2395,16.6395,20.122833,25.820713,17.452696,21.414865,0,0,47455.816,30385.447,5.5,5.5,0.0,8.0,11.879999,32.039997,8.48422,19.18,3.6996357
Brazil,1990-01-02 00:00:00+00:00,63.0,22.7395,17.2395,19.774916,23.408276,18.380022,21.189306,0,0,47439.312,19340.414,8.8,8.8,0.0,12.0,12.245293,30.599998,349.3951,13.58,2.6847734
Brazil,1990-01-03 00:00:00+00:00,53.0,21.2895,17.689499,19.162416,22.334827,19.019821,20.635817,0,0,47421.473,316.1142,6.2000003,6.2000003,0.0,18.0,10.239453,21.599998,9.2197075,7.14,1.6441761
Brazil,1990-01-04 00:00:00+00:00,63.0,23.3395,14.9395,18.933252,25.4679,15.325386,19.767502,0,0,47402.324,43279.285,13.5,13.5,0.0,9.0,13.207634,36.719997,27.465424,21.62,3.936768
Brazil,1990-01-05 00:00:00+00:00,53.0,23.189499,14.1895,18.656168,24.174202,14.891491,19.403967,0,0,47381.9,43408.51,0.9,0.9,0.0,3.0,13.276144,35.28,65.35083,20.7,3.8495605
Brazil,1990-01-06 00:00:00+00:00,61.0,24.3395,17.3395,19.816582,25.11711,17.787964,20.331144,0,0,47360.215,43409.633,3.4,3.4,0.0,6.0,15.807239,37.44,73.70483,21.21,3.977972
Brazil,1990-01-07 00:00:00+00:00,2.0,24.3895,13.339499,19.256166,25.361921,13.195269,19.023283,0,0,47337.305,43694.805,0.0,0.0,0.0,0.0,15.7908325,37.079998,72.181046,29.66,5.612464
Brazil,1990-01-08 00:00:00+00:00,2.0,24.439499,12.6395,18.816584,25.572493,12.327703,18.895264,0,0,47313.19,43802.895,0.0,0.0,0.0,0.0,9.449572,26.64,60.930412,27.65,5.1639466
Brazil,1990-01-09 00:00:00+00:00,2.0,24.2895,13.8895,19.324915,24.76153,13.64043,19.431623,0,0,47287.91,42284.816,0.0,0.0,0.0,0.0,10.538843,27.359999,33.87083,22.65,4.3777876
Brazil,1990-01-10 00:00:00+00:00,3.0,25.5895,15.2395,20.68325,27.712627,14.9928055,20.986666,0,0,47261.477,43701.31,0.0,0.0,0.0,0.0,11.542478,29.519999,21.492983,26.09,5.1868167
