location,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
Colombia,1990-01-01 00:00:00+00:00,63.0,19.330502,13.780499,16.301332,21.535894,14.619633,17.668339,0,0,42653.13,34345.484,32.3,32.3,0.0,24.0,6.2145634,26.64,271.4687,13.64,2.3476195
Colombia,1990-01-02 00:00:00+00:00,63.0,20.1305,13.8805,16.488832,22.34838,14.736441,17.9485,0,0,42657.008,34365.14,21.0,21.0,0.0,21.0,6.379216,24.84,282.75754,15.07,2.6972828
Colombia,1990-01-03 00:00:00+00:00,61.0,21.1305,14.7305,17.090918,23.844208,16.050095,18.79827,0,0,42661.203,32333.691,11.199999,11.199999,0.0,21.0,4.896529,24.84,307.01993,14.91,2.6962469
Colombia,1990-01-04 00:00:00+00:00,61.0,20.5305,13.4805,16.553415,22.752075,14.226732,17.967697,0,0,42665.71,32461.719,10.2,10.2,0.0,17.0,6.830519,27.72,296.56448,16.42,2.9124422
Colombia,1990-01-05 00:00:00+00:00,61.0,20.7805,13.8305,16.338835,22.55518,14.626146,17.81312,0,0,42670.52,28850.012,18.900003,18.900003,0.0,24.0,5.315336,23.4,297.64575,11.97,2.1337183
Colombia,1990-01-06 00:00:00+00:00,61.0,21.080502,15.3805,17.0805,24.085245,16.74473,18.91478,0,0,42675.63,31552.94,9.2,9.2,0.0,20.0,4.896529,27.0,306.38443,14.64,2.6145368
Colombia,1990-01-07 00:00:00+00:00,61.0,20.7805,14.030499,16.938831,24.097397,14.734737,18.685015,0,0,42681.035,34303.87,14.9,14.9,0.0,21.0,5.506941,25.56,266.5835,14.64,2.5641813
Colombia,1990-01-08 00:00:00+00:00,63.0,19.1805,14.8305,16.68675,21.412586,16.014473,18.35218,0,0,42686.723,17504.375,37.7,37.7,0.0,24.0,5.634891,23.039999,281.53442,9.66,1.7408162
Colombia,1990-01-09 00:00:00+00:00,63.0,20.080502,15.2305,17.015917,22.1176,16.585566,18.683767,0,0,42692.688,20213.816,57.499996,57.499996,0.0,24.0,5.4119864,21.96,276.5818,10.63,1.9460664
Colombia,1990-01-10 00:00:00+00:00,65.0,19.6305,14.530499,16.357584,22.102522,15.721474,18.086685,0,0,42698.93,27273.895,74.09999,74.09999,0.0,23.0,5.0911684,21.96,262.74683,10.18,1.8104216
Colombia,1990-01-11 00:00:00+00:00,63.0,20.9305,13.8305,16.909668,24.543526,14.75079,18.582413,0,0,42705.453,30852.377,27.600006,27.600006,0.0,22.0,6.28713,24.48,284.03622,16.47,2.9148786
Colombia,1990-01-12 00:00:00+00:00,63.0,19.8805,14.6305,16.622166,22.517933,15.733019,18.335749,0,0,42712.336,27085.041,28.9,28.9,0.0,24.0,5.506941,25.56,241.50447,11.65,2.0714436
Colombia,1990-01-13 00:00:00+00:00,63.0,20.0305,13.6805,16.372168,23.365688,14.513926,17.94365,0,0,42719.58,34860.08,23.699999,23.699999,0.0,24.0,4.8433046,25.919998,356.72955,15.37,2.722287
Colombia,1990-01-14 00:00:00+00:00,63.0,19.980501,13.4305,16.14925,21.952229,14.182249,17.49735,0,0,42727.164,37591.723,27.5,27.5,0.0,23.0,5.495161,24.119999,10.61961,13.47,2.4096239
Colombia,1990-01-15 00:00:00+00:00,63.0,21.230501,13.3305,16.793001,23.978613,14.046764,18.456944,0,0,42735.074,38817.32,35.300003,35.300003,0.0,23.0,5.937272,24.84,298.61023,16.97,3.0447567
Colombia,1990-01-16 00:00:00+00:00,61.0,21.980501,13.3805,16.899248,25.390877,14.211306,18.521292,0,0,42743.3,37267.066,19.800001,19.800001,0.0,21.0,5.634891,24.119999,309.8054,16.88,3.0611157
Colombia,1990-01-17 00:00:00+00:00,55.0,21.730501,13.8305,16.92425,24.921898,14.704145,18.631348,0,0,42751.832,24130.525,11.599999,11.599999,0.0,21.0,5.0142193,24.119999,318.65222,13.29,2.4791064
Colombia,1990-01-18 00:00:00+00:00,53.0,20.480501,14.280499,17.238834,22.565628,15.358879,19.04346,0,0,42760.65,17719.605,5.7000003,5.7000003,0.0,20.0,5.315336,20.880001,320.3009,10.8,1.9685436
Colombia,1990-01-19 00:00:00+00:00,61.0,21.230501,14.280499,17.063833,23.382269,15.308264,18.591604,0,0,42769.742,33728.938,7.9000006,7.9000006,0.0,18.0,6.9153743,26.28,350.31128,15.38,2.780011
Colombia,1990-01-20 00:00:00+00:00,53.0,22.4305,14.2305,17.426332,25.91469,15.13826,19.104326,0,0,42779.1,36907.566,3.3,3.3,0.0,8.0,5.5887027,24.119999,330.2552,17.91,3.2639496
Colombia,1990-01-21 00:00:00+00:00,61.0,23.0305,13.780499,17.715916,26.558949,14.613907,19.55594,0,0,42788.7,36402.203,10.2,10.2,0.0,16.0,5.8603754,26.64,295.8663,20.08,3.6922512
Colombia,1990-01-22 00:00:00+00:00,61.0,23.230501,14.5805,18.051332,26.575241,15.59457,19.80408,0,0,42798.535,34713.996,7.5,7.5,0.0,14.0,6.849467,26.28,306.02744,18.78,3.5000944
Colombia,1990-01-23 00:00:00+00:00,53.0,23.980501,12.7305,17.476332,26.860569,12.689228,18.703457,0,0,42808.59,36976.855,3.9,3.9,0.0,12.0,9.114471,37.079998,351.8699,21.33,3.9343212
Colombia,1990-01-24 00:00:00+00:00,53.0,24.4305,12.5805,17.820084,28.122574,12.463833,19.113695,0,0,42818.855,39678.207,1.8000002,1.8000002,0.0,7.0,6.696387,27.359999,30.963682,22.85,4.2317486
Colombia,1990-01-25 00:00:00+00:00,55.0,23.9305,13.280499,18.359667,27.409977,13.377214,20.10248,0,0,42829.316,39339.445,6.5000005,6.5000005,0.0,13.0,6.6185193,27.0,76.60777,20.89,3.8746793
Colombia,1990-01-26 00:00:00+00:00,63.0,21.830502,14.2305,17.643,25.495857,15.0337925,19.371096,0,0,42839.96,30142.95,24.499998,24.499998,0.0,24.0,5.6920996,28.44,79.99213,16.33,3.0344772
Colombia,1990-01-27 00:00:00+00:00,63.0,23.480501,14.280499,18.040918,26.735056,14.938976,19.975197,0,0,42850.773,39099.316,37.4,37.4,0.0,24.0,6.8777895,28.8,12.633382,20.83,3.7920246
Colombia,1990-01-28 00:00:00+00:00,63.0,23.6305,13.9305,17.734667,27.558908,14.565424,19.604908,0,0,42861.746,38085.03,30.199999,30.199999,0.0,20.0,5.315336,26.28,51.48306,20.3,3.7576747
Colombia,1990-01-29 00:00:00+00:00,61.0,23.2805,13.6305,17.953417,26.339907,14.465517,19.780874,0,0,42872.86,39136.67,13.699999,13.699999,0.0,18.0,5.991594,24.84,324.63733,19.72,3.6449947
Colombia,1990-01-30 00:00:00+00:00,61.0,21.1305,13.9805,17.4805,22.873367,14.673586,19.142796,0,0,42884.1,23392.959,14.8,14.8,0.0,20.0,5.937272,21.96,234.78226,13.42,2.4839647
Colombia,1990-01-31 00:00:00+00:00,55.0,23.0305,14.9805,18.0805,26.276537,16.27515,19.984793,0,0,42895.492,35799.44,12.599999,12.599999,0.0,20.0,4.6938257,25.919998,351.2537,17.68,3.3084915
Colombia,1990-02-01 00:00:00+00:00,63.0,24.1305,14.3805,18.382582,28.033287,15.332851,20.402443,0,0,42907.14,36295.992,15.9,15.9,0.0,16.0,6.297428,24.84,98.13012,20.55,3.8685372
Colombia,1990-02-02 00:00:00+00:00,63.0,21.4305,15.0805,17.836752,23.924173,16.307333,19.83568,0,0,42919.047,13357.841,13.099999,13.099999,0.0,15.0,5.1544156,23.759998,311.63327,12.83,2.4221852
Colombia,1990-02-03 00:00:00+00:00,61.0,21.3805,14.6305,17.815916,24.008615,15.7627945,19.7228,0,0,42931.207,19611.984,7.4,7.4,0.0,15.0,5.6920996,24.48,302.8557,12.72,2.3898797
Colombia,1990-02-04 00:00:00+00:00,61.0,20.7805,14.8305,17.590918,23.34535,15.969593,19.510553,0,0,42943.598,30119.86,13.700001,13.700001,0.0,23.0,5.0911684,24.119999,296.56497,12.16,2.2616353
Colombia,1990-02-05 00:00:00+00:00,63.0,19.6305,16.0305,17.351336,22.271954,17.840206,19.495049,0,0,42956.207,8361.272,40.200005,40.200005,0.0,24.0,5.154415,23.759998,266.94717,8.05,1.5643792
Colombia,1990-02-06 00:00:00+00:00,53.0,22.3805,14.9305,17.822166,25.714142,16.143343,19.62068,0,0,42969.023,27794.066,3.5,3.5,0.0,11.0,6.28713,27.0,317.52618,16.19,3.0155683
Colombia,1990-02-07 00:00:00+00:00,53.0,22.580502,15.030499,18.426332,25.727749,16.299751,20.423994,0,0,42982.023,33296.83,1.9000001,1.9000001,0.0,7.0,6.28713,25.919998,308.92755,19.01,3.5135264
Colombia,1990-02-08 00:00:00+00:00,61.0,22.5305,14.6805,18.161749,27.363232,15.959917,20.309004,0,0,42995.203,38337.316,8.7,8.7,0.0,15.0,5.4833565,25.199999,297.27667,19.51,3.5426915
Colombia,1990-02-09 00:00:00+00:00,63.0,21.480501,14.780499,17.895082,25.772823,15.84358,19.987978,0,0,43008.543,39285.21,24.4,24.4,0.0,19.0,5.0142193,24.48,301.82733,19.25,3.4820335
Colombia,1990-02-10 00:00:00+00:00,63.0,20.6805,15.4805,17.613832,24.101437,16.740776,19.669561,0,0,43022.027,32601.72,45.500004,45.500004,0.0,24.0,5.4833565,28.8,299.21912,15.74,2.8514585
Colombia,1990-02-11 00:00:00+00:00,63.0,20.5305,15.3305,17.703417,23.881268,16.852087,19.653736,0,0,43035.65,31492.568,23.499998,23.499998,0.0,23.0,6.9527545,24.84,306.31378,13.59,2.4637642
Colombia,1990-02-12 00:00:00+00:00,63.0,20.5305,15.9805,17.724249,23.268143,17.482105,19.730902,0,0,43049.383,29429.89,38.199997,38.199997,0.0,24.0,4.73506,23.039999,300.0048,12.18,2.2357886
Colombia,1990-02-13 00:00:00+00:00,61.0,23.8805,13.8805,17.37008,26.847128,14.662907,19.203936,0,0,43063.23,22904.736,9.6,9.6,0.0,18.0,5.937272,25.199999,274.5738,14.17,2.6386888
Colombia,1990-02-14 00:00:00+00:00,61.0,20.7805,15.030499,17.261751,23.906483,16.209044,19.105278,0,0,43077.164,30441.781,11.399999,11.399999,0.0,20.0,5.4119864,25.919998,280.22205,13.35,2.4191868
Colombia,1990-02-15 00:00:00+00:00,63.0,18.7805,15.4805,17.001333,21.065704,16.989649,18.775452,0,0,43091.176,8594.78,20.8,20.8,0.0,24.0,4.6938252,23.759998,275.11716,8.27,1.5583355
Colombia,1990-02-16 00:00:00+00:00,55.0,21.8805,14.8305,17.449251,26.522263,15.985714,19.451717,0,0,43105.258,31672.715,12.100001,12.100001,0.0,21.0,6.9899354,29.16,300.85413,20.12,3.596164
Colombia,1990-02-17 00:00:00+00:00,55.0,20.830502,15.3305,17.720083,23.691895,16.526457,19.64665,0,0,43119.39,34272.08,7.8999996,7.8999996,0.0,22.0,5.8048253,29.519999,289.47037,15.26,2.7467532
