location,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
Honduras,1990-01-01 00:00:00+00:00,51.0,29.1555,18.5555,23.765915,31.396927,20.010965,25.489649,0,0,40639.36,36479.547,0.1,0.1,0.0,1.0,10.028439,29.16,348.79407,17.62,3.7731106
Honduras,1990-01-02 00:00:00+00:00,53.0,27.1555,19.6055,22.363832,27.649595,22.487,24.502695,0,0,40651.85,32425.213,3.5000002,3.5000002,0.0,10.0,11.753877,33.12,348.51,15.51,3.2996411
Honduras,1990-01-03 00:00:00+00:00,51.0,27.2555,17.9055,21.64717,27.478468,20.014717,23.279589,0,0,40665.355,34869.82,2.3,2.3,0.0,13.0,9.511088,30.599998,339.1195,15.51,3.2494068
Honduras,1990-01-04 00:00:00+00:00,51.0,26.5055,17.8055,21.784666,28.578194,20.188807,23.976397,0,0,40679.85,32541.756,0.6,0.6,0.0,5.0,8.891344,25.56,339.62344,13.24,2.7632372
Honduras,1990-01-05 00:00:00+00:00,3.0,28.3055,18.1055,22.503416,30.151443,20.633863,24.813675,0,0,40695.32,32450.387,0.0,0.0,0.0,0.0,7.6367526,18.72,13.179906,14.37,3.0639749
Honduras,1990-01-06 00:00:00+00:00,51.0,28.6555,19.3555,23.401335,30.730919,21.96929,25.829828,0,0,40711.746,35384.434,0.1,0.1,0.0,1.0,9.659814,23.039999,350.53772,14.9,3.2103176
Honduras,1990-01-07 00:00:00+00:00,53.0,28.7055,17.7055,22.715914,30.087448,19.9063,24.586832,0,0,40729.105,32406.39,2.0,2.0,0.0,6.0,8.209263,20.16,9.229803,18.08,3.7458076
Honduras,1990-01-08 00:00:00+00:00,3.0,28.9055,17.1555,22.440916,29.852531,18.878248,23.45012,0,0,40747.38,36284.67,0.0,0.0,0.0,0.0,12.4811535,32.760002,330.6929,17.6,3.8675234
Honduras,1990-01-09 00:00:00+00:00,53.0,28.7555,19.5555,22.86383,29.85783,22.376518,24.72183,0,0,40766.55,36267.2,0.70000005,0.70000005,0.0,3.0,11.269782,31.319998,349.27698,16.75,3.6465628
Honduras,1990-01-10 00:00:00+00:00,53.0,28.4555,19.1055,22.774248,28.743286,21.412989,24.485758,0,0,40786.594,36291.15,4.0,4.0,0.0,11.0,11.874544,43.199997,358.0711,15.58,3.46264
Honduras,1990-01-11 00:00:00+00:00,55.0,27.7555,19.6555,22.797167,28.166542,22.33389,24.611809,0,0,40807.535,32241.254,6.6000004,6.6000004,0.0,20.0,11.91812,41.760002,338.32947,13.01,2.9772906
Honduras,1990-01-12 00:00:00+00:00,51.0,26.0555,17.9055,20.978415,27.533863,19.981163,22.609879,0,0,40829.617,32400.0,2.6,2.6,0.0,12.0,11.252519,31.68,333.82663,14.99,3.0918093
Honduras,1990-01-13 00:00:00+00:00,53.0,24.2055,17.7055,20.057585,25.253862,19.352915,21.635908,0,0,40852.84,32441.883,3.1,3.1,0.0,10.0,11.592895,31.68,330.25522,13.27,2.610286
Honduras,1990-01-14 00:00:00+00:00,51.0,25.5555,17.7555,20.536753,26.777777,19.764105,22.232409,0,0,40877.15,32780.83,2.7000003,2.7000003,0.0,11.0,9.346143,27.0,341.97845,14.81,2.9620492
Honduras,1990-01-15 00:00:00+00:00,51.0,26.0555,19.1555,21.865915,27.692663,21.587112,24.085993,0,0,40902.508,32730.957,1.6000001,1.6000001,0.0,9.0,7.628263,29.88,10.397273,13.06,2.715081
Honduras,1990-01-16 00:00:00+00:00,53.0,27.8055,19.1055,22.632584,28.386364,21.652208,24.595467,0,0,40928.863,34462.35,1.5000001,1.5000001,0.0,5.0,10.144082,35.64,6.340073,14.35,3.1250834
Honduras,1990-01-17 00:00:00+00:00,53.0,27.9555,19.0055,22.990915,29.085453,21.60337,24.992037,0,0,40956.17,36562.914,2.3000002,2.3000002,0.0,7.0,9.511088,38.16,8.488851,15.4,3.3070104
Honduras,1990-01-18 00:00:00+00:00,53.0,28.1555,17.5055,22.447165,28.99405,19.496786,24.298622,0,0,40984.395,36657.2,1.6999999,1.6999999,0.0,5.0,8.707237,28.44,18.904655,16.24,3.420528
Honduras,1990-01-19 00:00:00+00:00,51.0,27.5555,19.0055,22.48675,30.281986,21.474321,24.580933,0,0,41013.477,36479.97,0.4,0.4,0.0,3.0,8.225035,22.319998,20.790827,15.83,3.2768712
Honduras,1990-01-20 00:00:00+00:00,51.0,28.6555,18.8555,22.990915,30.743282,21.210073,25.230356,0,0,41043.38,34865.125,0.5,0.5,0.0,2.0,8.825508,28.08,58.22783,16.51,3.5101504
Honduras,1990-01-21 00:00:00+00:00,53.0,28.8555,19.1555,23.090918,29.79493,21.67941,25.21786,0,0,41074.06,34886.676,0.9,0.9,0.0,2.0,10.787993,30.599998,24.357988,16.32,3.5685825
Honduras,1990-01-22 00:00:00+00:00,53.0,28.4555,19.5555,23.3305,29.275017,22.242413,25.35235,0,0,41105.473,34694.438,3.1999998,3.1999998,0.0,15.0,12.7279215,36.0,5.555257,16.5,3.6437087
